ESTACAO;NUM;ANO;MES;DIA;TEMP;HR;VENTO;PREC;FFMC;DMC;DC;ISI;BUI;FWI;DSR
SAGRES;533;2007;1;1;18.4;62.0;16.0;0.0;84.7;15.8;154.2;4.5;25.2;8.3;1.15
SINES/MC;541;2007;1;1;16.2;75.0;11.0;0.0;82.5;13.6;51.7;2.7;16.4;3.8;0.28
PORTO/PR;545;2007;1;1;15.2;99.0;6.0;5.0;14.6;2.1;14.1;0.0;3.0;0.0;0.00
COIMBRA/CE;548;2007;1;1;15.2;84.0;6.0;0.0;82.0;11.9;40.4;1.9;13.7;2.2;0.11
V.CASTELO;551;2007;1;1;14.9;100.0;8.0;8.0;0.0;0.3;2.4;0.0;0.5;0.0;0.00
FARO;554;2007;1;1;17.3;69.0;6.0;0.0;85.3;20.2;61.7;3.0;22.2;5.2;0.50
EVORA/CC;558;2007;1;1;15.4;75.0;7.0;0.0;81.8;10.7;45.1;2.0;13.4;2.2;0.11
VISEU/CC;560;2007;1;1;10.2;100.0;6.0;0.1;18.1;2.4;21.9;0.0;3.8;0.0;0.00
BEJA;562;2007;1;1;14.7;82.0;11.0;0.0;79.3;7.3;57.0;1.8;11.0;1.6;0.06
V.REAL;567;2007;1;1;11.6;95.0;3.0;0.1;64.0;4.4;22.3;0.6;5.9;0.3;0.00
P.DOURADAS;568;2007;1;1;7.2;98.0;21.0;0.0;70.9;5.0;11.8;1.9;5.0;0.8;0.02
C.BRANCO;570;2007;1;1;12.9;92.0;2.0;0.0;44.5;5.9;32.8;0.1;8.2;0.0;0.00
PORTALEGRE;571;2007;1;1;12.3;81.0;12.0;0.0;65.7;8.7;34.5;1.0;10.7;0.6;0.01
BRAGANCA;575;2007;1;1;11.2;87.0;14.0;0.1;33.1;1.1;4.9;0.0;1.4;0.0;0.00
LISBOA/GC;579;2007;1;1;15.0;84.0;4.0;0.1;65.9;7.6;40.2;0.7;10.3;0.4;0.01
MONCAO;605;2007;1;1;16.0;96.0;10.0;0.0;76.7;4.9;159.7;1.4;9.1;0.8;0.02
LAM.MOURO;606;2007;1;1;10.4;95.0;4.0;1.9;20.1;0.1;16.1;0.0;0.1;0.0;0.00
MONTALEGRE;611;2007;1;1;10.0;93.0;14.0;1.9;33.1;0.1;3.0;0.0;0.2;0.0;0.00
P.LIMA;615;2007;1;1;15.7;99.0;3.0;9.9;1.7;0.0;2.5;0.0;0.0;0.0;0.00
