ESTACAO;NUM;ANO;MES;DIA;TEMP;HR;VENTO;PREC;FFMC;DMC;DC;ISI;BUI;FWI;DSR
SAGRES;533;2002;1;1;16.9;82.0;19.0;0.4;80.4;4.6;153.2;3.1;8.6;2.9;0.18
SINES/MC;541;2002;1;1;15.5;83.0;17.0;0.3;82.2;6.3;277.5;3.4;12.0;4.1;0.33
PORTO/PR;545;2002;1;1;15.4;73.0;16.0;0.8;66.8;33.1;179.7;1.3;45.4;3.5;0.24
COIMBRA/CE;548;2002;1;1;14.4;91.0;12.0;3.0;52.2;23.2;310.1;0.4;39.1;0.5;0.01
V.CASTELO;551;2002;1;1;16.6;69.0;12.0;3.0;41.7;5.3;111.6;0.1;9.5;0.1;0.00
FARO;554;2002;1;1;16.0;88.0;24.0;0.7;78.1;4.0;22.2;3.2;5.5;2.3;0.11
EVORA/CC;558;2002;1;1;13.9;86.0;4.0;0.8;76.7;8.6;181.5;1.0;15.3;0.8;0.02
VISEU/CC;560;2002;1;1;11.0;93.0;10.0;3.0;35.7;11.3;107.8;0.0;17.9;0.0;0.00
BEJA;562;2002;1;1;15.1;87.0;9.0;3.0;54.2;0.8;119.9;0.4;1.6;0.1;0.00
V.REAL;567;2002;1;1;10.5;88.0;6.0;1.0;24.4;13.0;182.2;0.0;22.0;0.0;0.00
P.DOURADAS;568;2002;1;1;6.5;100.0;32.0;4.0;0.8;1.1;10.0;0.0;1.7;0.0;0.00
C.BRANCO;570;2002;1;1;11.0;98.0;13.0;4.0;34.2;7.5;182.0;0.0;13.6;0.0;0.00
PORTALEGRE;571;2002;1;1;13.1;78.0;25.0;2.0;68.8;16.1;330.5;2.1;28.8;4.3;0.37
BRAGANCA;575;2002;1;1;9.4;90.0;9.0;3.0;21.2;10.2;324.5;0.0;19.0;0.0;0.00
LISBOA/GC;579;2002;1;1;13.0;95.0;16.0;3.0;46.3;1.8;256.5;0.2;3.6;0.1;0.00
MONCAO;605;2002;1;1;14.7;79.0;21.0;2.0;39.8;7.3;106.3;0.1;12.5;0.1;0.00
LAM.MOURO;606;2002;1;1;11.8;77.0;19.0;2.0;37.1;9.4;71.9;0.1;14.2;0.0;0.00
MONTALEGRE;611;2002;1;1;7.7;96.0;13.0;1.0;18.8;11.3;65.5;0.0;15.8;0.0;0.00
P.LIMA;615;2002;1;1;16.3;63.0;5.0;0.0;82.3;49.6;139.5;1.9;52.5;5.9;0.64
