ESTACAO;NUM;ANO;MES;DIA;TEMP;HR;VENTO;PREC;FFMC;DMC;DC;ISI;BUI;FWI;DSR
SAGRES;533;2009;1;1;16.5;96.0;18.0;0.1;66.0;2.8;522.1;1.4;5.5;0.6;0.01
SINES/MC;541;2009;1;1;15.0;90.0;21.0;2.0;41.2;0.5;475.2;0.1;0.9;0.0;0.00
PORTO/PR;545;2009;1;1;13.0;92.0;9.0;4.0;32.6;0.5;2.0;0.0;0.6;0.0;0.00
COIMBRA/CE;548;2009;1;1;15.4;73.0;18.0;0.0;77.8;3.2;34.3;2.3;5.3;1.1;0.03
V.CASTELO;551;2009;1;1;13.6;87.0;8.0;2.0;39.1;0.7;4.3;0.0;0.9;0.0;0.00
FARO;554;2009;1;1;16.3;94.0;12.0;0.1;53.4;4.2;255.2;0.4;8.1;0.2;0.00
EVORA/CC;558;2009;1;1;13.2;100.0;8.0;6.0;10.5;0.0;407.3;0.0;0.0;0.0;0.00
VISEU/CC;560;2009;1;1;10.3;94.0;6.0;0.5;22.9;0.4;53.7;0.0;0.8;0.0;0.00
BEJA;562;2009;1;1;12.6;96.0;10.0;14.0;9.0;0.1;314.8;0.0;0.1;0.0;0.00
V.REAL;567;2009;1;1;11.8;82.0;2.0;3.0;20.4;0.3;129.1;0.0;0.6;0.0;0.00
P.DOURADAS;568;2009;1;1;4.7;99.0;7.0;7.0;1.1;0.2;0.6;0.0;0.2;0.0;0.00
C.BRANCO;570;2009;1;1;10.6;98.0;4.0;7.0;9.6;0.0;341.9;0.0;0.1;0.0;0.00
PORTALEGRE;571;2009;1;1;9.8;98.0;6.0;7.0;18.1;0.3;148.4;0.0;0.5;0.0;0.00
BRAGANCA;575;2009;1;1;8.4;100.0;0.0;6.0;0.9;0.0;267.5;0.0;0.0;0.0;0.00
LISBOA/GC;579;2009;1;1;14.2;97.0;9.0;4.0;8.8;0.1;205.7;0.0;0.1;0.0;0.00
MONCAO;605;2009;1;1;13.3;85.0;4.0;0.6;66.3;3.9;72.2;0.7;6.8;0.3;0.00
LAM.MOURO;606;2009;1;1;8.5;98.0;13.0;14.0;3.1;0.0;1.2;0.0;0.0;0.0;0.00
MONTALEGRE;611;2009;1;1;6.7;97.0;10.0;14.0;3.9;0.0;0.9;0.0;0.1;0.0;0.00
P.LIMA;615;2009;1;1;13.8;84.0;5.0;10.0;24.8;0.3;2.2;0.0;0.4;0.0;0.00
CHAVES;616;2009;1;1;12.8;71.0;5.0;6.0;41.6;0.5;241.9;0.1;1.0;0.0;0.00
CABRIL;619;2009;1;1;9.9;93.0;3.0;11.0;9.4;0.1;1.5;0.0;0.2;0.0;0.00
BRAGA;622;2009;1;1;13.1;90.0;3.0;4.0;26.8;0.2;2.5;0.0;0.4;0.0;0.00
C.BASTO;630;2009;1;1;12.8;87.0;2.0;0.0;74.3;4.9;16.1;0.8;5.6;0.4;0.00
MIRANDELA;632;2009;1;1;14.0;84.0;2.0;2.0;20.3;0.3;384.3;0.0;0.6;0.0;0.00
MCAVALEIRO;633;2009;1;1;9.2;100.0;1.0;3.0;5.6;0.0;201.2;0.0;0.0;0.0;0.00
M.DOURO;635;2009;1;1;8.6;100.0;0.0;3.0;31.0;1.1;324.0;0.0;2.3;0.0;0.00
MOGADOURO;637;2009;1;1;9.5;85.0;5.0;0.0;78.2;4.6;224.4;1.2;8.7;0.7;0.01
C.ANSIAES;644;2009;1;1;11.1;83.0;8.0;0.7;42.9;1.3;317.5;0.1;2.5;0.0;0.00
MONCORVO;654;2009;1;1;11.3;84.0;5.0;1.0;56.8;0.6;447.9;0.4;1.3;0.1;0.00
MOIM.BEIRA;663;2009;1;1;12.4;74.0;6.0;0.1;49.9;3.2;565.1;0.2;6.4;0.1;0.00
TRANCOSO;666;2009;1;1;10.3;74.0;12.0;0.8;51.9;0.6;164.8;0.4;1.1;0.1;0.00
AROUCA;669;2009;1;1;14.3;76.0;5.0;5.0;36.2;0.6;191.0;0.0;1.3;0.0;0.00
FC.RODRIGO;671;2009;1;1;11.9;74.0;12.0;0.7;76.7;3.7;491.7;1.6;7.3;0.8;0.02
GUARDA;683;2009;1;1;6.4;100.0;14.0;3.0;0.0;0.0;361.2;0.0;0.0;0.0;0.00
NELAS;685;2009;1;1;13.7;76.0;1.0;4.0;45.6;4.5;212.9;0.1;8.6;0.1;0.00
PAMP.SERRA;686;2009;1;1;10.2;81.0;10.0;4.6;40.1;0.3;319.9;0.1;0.5;0.0;0.00
COVILHA;687;2009;1;1;9.6;99.0;0.0;0.0;74.1;7.2;195.6;0.7;13.2;0.5;0.01
LOUSA;697;2009;1;1;15.7;65.0;4.0;4.0;56.4;1.9;108.9;0.4;3.6;0.1;0.00
AVEIRO/UNI;702;2009;1;1;15.1;83.0;13.0;5.0;37.5;0.3;52.3;0.0;0.7;0.0;0.00
ANADIA;705;2009;1;1;14.7;80.0;8.0;0.8;55.6;1.3;82.4;0.4;2.5;0.1;0.00
FIG.FOZ;713;2009;1;1;15.5;86.0;22.0;2.0;52.2;0.3;180.4;0.6;0.6;0.2;0.00
ANSIAO;716;2009;1;1;11.9;98.0;10.0;3.2;30.5;0.0;185.5;0.0;0.1;0.0;0.00
LEIRIA/Aer;718;2009;1;1;15.2;91.0;10.0;0.4;36.5;0.4;222.4;0.0;0.8;0.0;0.00
TOMAR;724;2009;1;1;14.5;94.0;12.0;3.0;27.8;0.1;259.5;0.0;0.2;0.0;0.00
ALCOBACA;726;2009;1;1;14.8;88.0;11.0;0.9;48.5;2.5;174.5;0.2;4.9;0.1;0.00
R.MAIOR;729;2009;1;1;13.6;96.0;6.0;0.0;26.4;44.7;824.4;0.0;78.7;0.0;0.00
SANTAREMFB;734;2009;1;1;13.1;94.0;5.0;7.0;7.5;0.1;289.2;0.0;0.2;0.0;0.00
D.PORTOS;739;2009;1;1;14.1;96.0;6.0;2.6;13.9;0.1;307.5;0.0;0.1;0.0;0.00
CORUCHE;744;2009;1;1;15.4;90.0;5.0;2.0;35.3;2.0;611.6;0.0;3.9;0.0;0.00
