ESTACAO;NUM;ANO;MES;DIA;TEMP;HR;VENTO;PREC;FFMC;DMC;DC;ISI;BUI;FWI;DSR
SAGRES;533;2005;1;1;15.3;75.0;18.0;0.0;84.1;14.4;392.7;4.6;26.4;8.6;1.24
SINES/MC;541;2005;1;1;10.2;95.0;9.0;0.0;78.8;21.5;521.0;1.6;38.9;4.0;0.31
PORTO/PR;545;2005;1;1;10.2;75.0;5.0;0.0;79.6;4.9;29.3;1.4;7.0;0.7;0.01
COIMBRA/CE;548;2005;1;1;9.9;84.0;4.0;0.0;73.4;2.7;85.1;0.9;5.0;0.4;0.00
V.CASTELO;551;2005;1;1;9.9;94.0;4.0;0.0;62.7;1.5;14.2;0.6;2.3;0.2;0.00
FARO;554;2005;1;1;16.0;68.0;15.0;0.0;85.7;20.5;535.4;5.0;37.4;11.2;1.95
EVORA/CC;558;2005;1;1;11.5;91.0;5.0;0.0;80.8;14.6;218.9;1.6;25.1;2.8;0.17
VISEU/CC;560;2005;1;1;8.9;75.0;11.0;0.0;80.0;5.1;32.0;2.0;7.3;1.1;0.03
BEJA;562;2005;1;1;6.1;100.0;15.0;0.0;75.6;8.8;474.5;1.7;16.8;2.1;0.10
V.REAL;567;2005;1;1;3.5;99.0;2.0;0.0;66.2;3.3;25.7;0.6;5.0;0.3;0.00
P.DOURADAS;568;2005;1;1;13.1;33.0;17.0;0.0;86.5;3.2;6.0;6.1;3.0;3.8;0.29
C.BRANCO;570;2005;1;1;12.2;64.0;8.0;0.0;85.3;16.5;187.9;3.3;27.0;6.5;0.75
PORTALEGRE;571;2005;1;1;11.6;67.0;6.0;0.0;85.2;15.6;156.0;2.9;25.0;5.5;0.55
BRAGANCA;575;2005;1;1;0.6;100.0;2.0;0.0;70.0;5.6;121.7;0.7;10.0;0.4;0.01
LISBOA/GC;579;2005;1;1;11.3;90.0;3.0;0.0;80.6;14.4;383.4;1.4;26.2;2.5;0.14
MONCAO;605;2005;1;1;7.1;92.0;13.0;0.0;64.1;5.8;96.9;1.0;10.1;0.6;0.01
LAM.MOURO;606;2005;1;1;9.0;82.0;8.0;0.1;69.1;1.7;6.4;0.9;2.1;0.3;0.00
MONTALEGRE;611;2005;1;1;7.4;79.0;0.0;0.1;73.3;1.8;7.0;0.7;2.2;0.2;0.00
P.LIMA;615;2005;1;1;8.6;100.0;3.0;0.0;64.2;1.1;22.1;0.6;2.0;0.2;0.00
CHAVES;616;2005;1;1;4.6;90.0;6.0;0.0;73.8;6.4;120.4;1.0;11.3;0.6;0.01
CABRIL;619;2005;1;1;9.4;69.0;2.0;0.0;77.3;5.0;20.2;1.0;6.2;0.5;0.01
BRAGA;622;2005;1;1;6.8;100.0;0.0;0.3;58.5;2.0;34.1;0.4;3.5;0.1;0.00
C.BASTO;630;2005;1;1;8.0;74.0;10.0;0.0;83.0;22.7;109.8;2.7;29.9;5.7;0.59
MIRANDELA;632;2005;1;1;5.3;83.0;3.0;0.0;75.0;7.5;305.0;0.9;14.2;0.7;0.01
MCAVALEIRO;633;2005;1;1;2.3;100.0;2.0;0.1;60.6;6.7;495.1;0.5;13.0;0.3;0.00
M.DOURO;635;2005;1;1;3.3;99.0;0.0;0.1;74.7;6.6;293.8;0.8;12.5;0.5;0.01
MOGADOURO;637;2005;1;1;2.4;97.0;0.0;0.0;76.1;33.0;782.1;0.8;59.7;2.6;0.14
C.ANSIAES;644;2005;1;1;2.1;98.0;3.0;0.0;74.6;7.7;56.1;0.9;11.5;0.6;0.01
MONCORVO;654;2005;1;1;3.8;95.0;2.0;0.0;77.4;24.9;691.0;1.0;45.7;2.6;0.14
MOIM.BEIRA;663;2005;1;1;3.3;96.0;2.0;0.4;76.2;12.6;130.5;0.9;20.3;0.8;0.02
TRANCOSO;666;2005;1;1;2.1;95.0;10.0;0.1;76.1;6.5;128.8;1.4;11.6;0.9;0.02
AROUCA;669;2005;1;1;8.8;91.0;1.0;0.1;69.4;3.3;26.1;0.6;5.0;0.3;0.00
FC.RODRIGO;671;2005;1;1;4.5;90.0;10.0;0.0;78.2;8.8;325.3;1.6;16.4;1.9;0.08
GUARDA;683;2005;1;1;4.5;100.0;1.0;0.1;75.7;4.1;26.0;0.8;5.9;0.4;0.01
NELAS;685;2005;1;1;10.9;67.0;11.0;0.0;81.5;7.4;146.7;2.3;13.1;2.7;0.16
PAMP.SERRA;686;2005;1;1;12.4;59.0;4.0;0.0;84.3;22.3;248.0;2.3;36.4;5.7;0.58
COVILHA;687;2005;1;1;10.2;70.0;6.0;0.0;84.4;12.8;43.8;2.6;14.8;3.5;0.24
LOUSA;697;2005;1;1;9.7;75.0;4.0;0.0;71.4;6.5;140.6;0.8;11.7;0.5;0.01
AVEIRO/UNI;702;2005;1;1;10.4;84.0;0.0;0.0;71.9;3.0;38.6;0.7;5.1;0.3;0.00
ANADIA;705;2005;1;1;11.2;74.0;6.0;0.0;76.1;6.9;59.7;1.1;10.7;0.7;0.01
FIG.FOZ;713;2005;1;1;9.7;80.0;3.0;0.0;79.6;5.4;94.4;1.3;9.4;0.7;0.02
ANSIAO;716;2005;1;1;7.5;99.0;9.0;0.0;75.9;11.8;130.1;1.3;19.3;1.5;0.06
LEIRIA/Aer;718;2005;1;1;13.3;74.0;8.0;0.0;83.3;58.3;807.2;2.5;98.7;11.4;2.03
TOMAR;724;2005;1;1;9.8;82.0;8.0;0.0;81.4;19.1;242.8;2.0;32.0;4.3;0.37
ALCOBACA;726;2005;1;1;11.0;87.0;7.0;0.0;80.8;15.2;430.2;1.8;27.9;3.5;0.25
R.MAIOR;729;2005;1;1;12.0;89.0;11.0;0.0;79.5;6.3;168.0;1.9;11.5;1.8;0.07
SANTAREMFB;734;2005;1;1;9.4;100.0;0.0;0.2;77.5;17.3;267.0;0.9;29.8;1.3;0.04
D.PORTOS;739;2005;1;1;11.8;87.0;13.0;0.0;80.8;25.4;459.9;2.4;44.6;6.6;0.76
CORUCHE;744;2005;1;1;8.6;97.0;3.0;0.1;78.1;28.6;562.5;1.1;50.8;3.3;0.22
LAVRADIO;766;2005;1;1;9.8;86.0;2.0;0.1;81.6;15.3;311.6;1.5;27.2;2.8;0.17
SETUBAL;770;2005;1;1;11.4;95.0;5.0;0.0;79.0;21.0;392.8;1.3;37.0;3.1;0.20
ALCAC. SAL;776;2005;1;1;9.8;97.0;2.0;0.0;78.7;28.6;477.4;1.1;49.8;3.2;0.21
ALVALADE;783;2005;1;1;8.1;100.0;2.0;0.1;77.1;18.1;421.7;1.0;32.7;1.7;0.07
SABUGAL;800;2005;1;1;3.9;100.0;12.0;0.0;73.0;7.7;195.6;1.3;14.0;0.9;0.02
ZEBREIRA;803;2005;1;1;10.3;73.0;5.0;0.0;83.8;13.9;201.2;2.3;23.7;4.2;0.34
PROENCA;806;2005;1;1;11.5;80.0;4.0;0.0;83.2;36.0;480.2;2.0;60.6;7.0;0.84
ALVEGA;812;2005;1;1;5.9;84.0;2.0;0.0;81.8;28.2;861.1;1.5;52.2;4.8;0.43
AVIS;824;2005;1;1;6.3;96.0;1.0;0.1;79.8;23.6;446.6;1.2;41.7;2.9;0.18
ELVAS;835;2005;1;1;6.8;94.0;0.0;0.0;80.9;18.6;248.7;1.2;31.3;2.5;0.13
ESTREMOZ;837;2005;1;1;12.3;70.0;10.0;0.1;84.7;17.9;275.3;3.3;30.8;7.1;0.87
PORTEL;848;2005;1;1;6.8;100.0;6.0;0.1;76.9;15.1;392.4;1.2;27.5;2.0;0.09
AMARELEJA;850;2005;1;1;9.0;91.0;15.0;0.0;80.0;67.4;1317.7;2.4;119.5;12.3;2.30
MERTOLA.VF;863;2005;1;1;8.2;94.0;9.0;0.0;79.5;25.5;736.5;1.7;46.9;4.9;0.45
N. CORVO;864;2005;1;1;13.1;75.0;15.0;0.0;84.0;17.0;545.2;3.9;31.6;8.3;1.15
