ESTACAO;NUM;ANO;MES;DIA;TEMP;HR;VENTO;PREC;FFMC;DMC;DC;ISI;BUI;FWI;DSR
ALCAC. SAL;776;2014;1;1;13.6;97.0;12.0;9.0;22.0;1.7;356.7;0.0;3.3;0.0;0.00
ALVALADE;783;2014;1;1;15.1;86.0;12.0;3.5;51.3;4.9;596.3;0.3;9.5;0.2;0.00
SABUGAL;800;2014;1;1;8.2;91.0;26.0;5.1;21.5;0.1;1.2;0.0;0.2;0.0;0.00
ZEBREIRA;803;2014;1;1;11.8;93.0;17.0;3.2;21.8;0.1;1.8;0.0;0.2;0.0;0.00
PROENCA;806;2014;1;1;11.8;95.0;17.0;3.2;16.2;0.1;1.8;0.0;0.1;0.0;0.00
ALVEGA;812;2014;1;1;13.9;95.0;13.0;2.3;21.9;0.1;139.1;0.0;0.2;0.0;0.00
AVIS;824;2014;1;1;12.8;93.0;9.0;2.0;25.2;0.1;226.7;0.0;0.2;0.0;0.00
ELVAS;835;2014;1;1;12.0;94.0;19.0;5.0;25.5;0.5;218.9;0.0;1.0;0.0;0.00
ESTREMOZ;837;2014;1;1;11.7;96.0;18.0;5.6;20.4;15.9;567.2;0.0;29.8;0.0;0.00
PORTEL;848;2014;1;1;12.7;94.0;20.0;6.5;30.4;1.2;382.5;0.0;2.3;0.0;0.00
AMARELEJA;850;2014;1;1;12.6;96.0;8.0;3.9;35.8;6.4;367.4;0.0;12.3;0.0;0.00
MERTOLA.VF;863;2014;1;1;11.2;95.0;8.0;1.2;66.5;8.7;484.1;0.8;16.6;0.7;0.01
N. CORVO;864;2014;1;1;15.0;85.0;12.0;0.0;78.6;4.0;314.6;1.8;7.7;1.0;0.03
ALCOUTIM;865;2014;1;1;13.0;89.0;12.0;1.7;64.0;5.0;293.4;0.9;9.5;0.5;0.01
C.MARIM;867;2014;1;1;15.1;95.0;12.0;1.9;60.0;20.7;597.2;0.8;38.0;1.2;0.04
PORTIMAO;878;2014;1;1;15.9;92.0;12.0;3.2;48.6;1.2;257.9;0.3;2.3;0.1;0.00
;;;;;;;;;;;;;;;
ESTACAO;NUM;ANO;MES;DIA;TEMP;HR;VENTO;PREC;FFMC;DMC;DC;ISI;BUI;FWI;DSR
SAGRES;533;2014;1;2;16.2;93.0;18.0;0.8;58.7;7.2;503.6;0.9;14.0;0.7;0.01
SINES/MC;541;2014;1;2;15.8;93.0;18.0;1.0;64.2;5.2;366.0;1.3;10.1;0.8;0.02
PORTO/PR;545;2014;1;2;14.3;99.0;21.0;22.0;3.1;0.0;2.3;0.0;0.0;0.0;0.00
COIMBRA/CE;548;2014;1;2;14.7;100.0;5.0;32.1;0.0;0.0;2.4;0.0;0.0;0.0;0.00
V.CASTELO;551;2014;1;2;13.4;100.0;7.0;21.0;0.0;0.0;2.1;0.0;0.0;0.0;0.00
FARO;554;2014;1;2;17.3;85.0;22.0;0.0;81.7;12.3;485.2;4.1;23.2;7.3;0.92
EVORA/CC;558;2014;1;2;14.0;94.0;24.0;7.0;18.5;0.1;112.9;0.0;0.2;0.0;0.00
VISEU/CC;560;2014;1;2;12.1;98.0;10.0;5.6;10.2;0.0;1.9;0.0;0.1;0.0;0.00
BEJA;562;2014;1;2;14.8;91.0;24.0;1.6;48.4;3.9;426.9;0.4;7.6;0.2;0.00
V.REAL;567;2014;1;2;10.2;98.0;0.0;22.0;2.0;0.0;1.5;0.0;0.1;0.0;0.00
P.DOURADAS;568;2014;1;2;8.8;98.0;25.0;64.0;4.0;0.0;1.3;0.0;0.0;0.0;0.00
C.BRANCO;570;2014;1;2;14.1;100.0;16.0;19.0;0.0;0.0;2.2;0.0;0.0;0.0;0.00
PORTALEGRE;571;2014;1;2;12.4;96.0;16.0;8.5;25.9;22.0;212.5;0.0;35.0;0.0;0.00
BRAGANCA;575;2014;1;2;8.3;97.0;0.0;14.0;4.1;0.0;1.2;0.0;0.1;0.0;0.00
LISBOA/GC;579;2014;1;2;15.6;93.0;26.0;8.0;22.1;0.1;91.3;0.0;0.3;0.0;0.00
MONCAO;605;2014;1;2;13.0;94.0;12.0;28.0;19.6;1.9;2.0;0.0;1.5;0.0;0.00
LAM.MOURO;606;2014;1;2;8.0;96.0;6.0;26.2;5.8;0.0;1.1;0.0;0.1;0.0;0.00
MONTALEGRE;611;2014;1;2;7.5;98.0;6.0;37.0;2.3;0.0;1.1;0.0;0.0;0.0;0.00
P.LIMA;615;2014;1;2;13.0;97.0;7.0;25.5;4.8;0.1;2.0;0.0;0.1;0.0;0.00
CHAVES;616;2014;1;2;11.0;90.0;2.0;18.0;12.4;0.1;10.3;0.0;0.3;0.0;0.00
CABRIL;619;2014;1;2;10.4;97.0;6.0;28.4;3.7;0.0;1.6;0.0;0.1;0.0;0.00
BRAGA;622;2014;1;2;13.2;98.0;7.0;23.4;3.6;0.0;2.1;0.0;0.1;0.0;0.00
C.BASTO;630;2014;1;2;12.0;97.0;0.0;22.7;2.4;0.0;1.9;0.0;0.1;0.0;0.00
MIRANDELA;632;2014;1;2;11.2;94.0;0.0;14.9;6.4;0.1;77.2;0.0;0.2;0.0;0.00
MCAVALEIRO;633;2014;1;2;8.8;96.0;6.0;12.3;8.9;0.0;28.7;0.0;0.1;0.0;0.00
M.DOURO;635;2014;1;2;8.6;96.0;6.0;14.0;4.6;0.0;72.4;0.0;0.1;0.0;0.00
MOGADOURO;637;2014;1;2;8.2;95.0;6.0;14.2;7.9;0.1;15.0;0.0;0.1;0.0;0.00
C.ANSIAES;644;2014;1;2;8.1;95.0;6.0;18.8;7.3;0.1;1.2;0.0;0.1;0.0;0.00
MONCORVO;654;2014;1;2;10.0;95.0;6.0;19.6;7.8;0.1;1.5;0.0;0.1;0.0;0.00
MOIM.BEIRA;663;2014;1;2;9.6;95.0;10.0;23.3;7.9;0.1;1.4;0.0;0.1;0.0;0.00
TRANCOSO;666;2014;1;2;8.5;93.0;25.0;26.6;13.2;0.1;1.2;0.0;0.1;0.0;0.00
AROUCA;669;2014;1;2;14.7;91.0;10.0;49.5;14.5;0.2;2.4;0.0;0.3;0.0;0.00
FC.RODRIGO;671;2014;1;2;8.9;92.0;25.0;23.5;15.1;0.1;1.3;0.0;0.2;0.0;0.00
GUARDA;683;2014;1;2;7.9;91.0;25.0;29.2;15.1;0.1;1.1;0.0;0.2;0.0;0.00
NELAS;685;2014;1;2;13.9;94.0;10.0;25.4;10.2;0.1;2.2;0.0;0.2;0.0;0.00
PAMP.SERRA;686;2014;1;2;12.8;93.0;25.0;13.5;14.5;0.1;2.0;0.0;0.2;0.0;0.00
COVILHA;687;2014;1;2;13.4;89.0;16.0;23.4;19.3;0.2;2.1;0.0;0.3;0.0;0.00
LOUSA;697;2014;1;2;15.3;98.0;26.0;1.8;29.7;0.0;4.6;0.0;0.1;0.0;0.00
AVEIRO/UNI;702;2014;1;2;15.4;92.0;21.0;34.0;18.0;0.2;2.5;0.0;0.3;0.0;0.00
ANADIA;705;2014;1;2;15.2;100.0;5.0;46.0;0.0;0.0;2.4;0.0;0.0;0.0;0.00
FIG.FOZ;713;2014;1;2;15.3;99.0;21.0;26.8;3.1;0.0;2.5;0.0;0.0;0.0;0.00
ANSIAO;716;2014;1;2;13.4;98.0;26.0;44.0;4.8;0.0;2.1;0.0;0.1;0.0;0.00
LEIRIA/Aer;718;2014;1;2;15.1;94.0;13.0;0.0;77.6;42.7;365.0;1.8;66.1;6.5;0.74
TOMAR;724;2014;1;2;15.2;93.0;14.0;21.5;12.9;0.1;72.7;0.0;0.3;0.0;0.00
ALCOBACA;726;2014;1;2;15.2;89.0;13.0;30.0;18.2;0.2;2.4;0.0;0.4;0.0;0.00
R.MAIOR;729;2014;1;2;16.3;100.0;8.0;25.1;0.0;0.0;2.6;0.0;0.0;0.0;0.00
SANTAREMFB;734;2014;1;2;15.1;93.0;14.0;0.0;72.3;9.1;291.1;1.4;16.9;1.5;0.05
D.PORTOS;739;2014;1;2;15.5;92.0;30.0;9.0;25.6;0.2;173.4;0.0;0.3;0.0;0.00
CORUCHE;744;2014;1;2;15.4;96.0;21.0;5.0;16.8;0.1;175.5;0.0;0.2;0.0;0.00
LAVRADIO;766;2014;1;2;16.1;95.0;26.0;6.4;19.2;0.1;138.5;0.0;0.2;0.0;0.00
SETUBAL;770;2014;1;2;16.2;95.0;21.0;4.9;19.1;0.1;82.1;0.0;0.2;0.0;0.00
ALCAC. SAL;776;2014;1;2;16.6;93.0;20.0;1.0;34.0;1.9;359.4;0.0;3.7;0.0;0.00
ALVALADE;783;2014;1;2;16.3;92.0;20.0;1.1;55.0;5.1;598.9;0.8;9.9;0.5;0.01
SABUGAL;800;2014;1;2;8.5;91.0;25.0;23.2;16.2;0.1;1.2;0.0;0.2;0.0;0.00
ZEBREIRA;803;2014;1;2;13.3;94.0;16.0;18.1;12.6;0.1;2.1;0.0;0.2;0.0;0.00
PROENCA;806;2014;1;2;14.0;95.0;16.0;21.1;9.9;0.1;2.2;0.0;0.2;0.0;0.00
ALVEGA;812;2014;1;2;15.3;97.0;21.0;12.6;9.9;0.1;116.7;0.0;0.1;0.0;0.00
AVIS;824;2014;1;2;14.5;97.0;16.0;9.0;11.2;0.1;208.1;0.0;0.1;0.0;0.00
ELVAS;835;2014;1;2;13.8;99.0;14.0;7.0;8.7;0.0;205.9;0.0;0.0;0.0;0.00
ESTREMOZ;837;2014;1;2;13.0;97.0;24.0;5.5;13.7;9.4;543.3;0.0;18.1;0.0;0.00
PORTEL;848;2014;1;2;14.4;93.0;24.0;3.6;29.2;0.2;376.1;0.0;0.4;0.0;0.00
AMARELEJA;850;2014;1;2;14.4;91.0;9.0;2.2;35.7;4.9;369.7;0.0;9.5;0.0;0.00
MERTOLA.VF;863;2014;1;2;15.4;84.0;9.0;0.0;72.4;9.0;486.6;1.1;17.3;0.9;0.02
N. CORVO;864;2014;1;2;15.9;90.0;12.0;0.0;78.6;4.2;317.2;1.8;8.1;1.0;0.03
ALCOUTIM;865;2014;1;2;15.2;91.0;12.0;0.2;68.5;5.2;295.8;1.1;9.9;0.7;0.01
C.MARIM;867;2014;1;2;16.8;87.0;12.0;0.3;68.1;21.0;599.9;1.1;38.6;2.5;0.13
PORTIMAO;878;2014;1;2;16.2;95.0;12.0;0.8;51.2;1.3;260.5;0.3;2.6;0.1;0.00
;;;;;;;;;;;;;;;
ESTACAO;NUM;ANO;MES;DIA;TEMP;HR;VENTO;PREC;FFMC;DMC;DC;ISI;BUI;FWI;DSR
SAGRES;533;2014;1;3;17.1;90.0;20.0;3.6;45.3;4.5;494.6;0.2;8.9;0.1;0.00
SINES/MC;541;2014;1;3;15.5;93.0;20.0;2.0;53.0;4.1;368.5;0.6;7.9;0.3;0.00
PORTO/PR;545;2014;1;3;14.0;90.0;8.0;27.2;13.8;0.2;2.2;0.0;0.3;0.0;0.00
COIMBRA/CE;548;2014;1;3;12.3;100.0;5.0;38.4;0.0;0.0;1.9;0.0;0.0;0.0;0.00
V.CASTELO;551;2014;1;3;13.2;94.0;3.0;19.0;6.5;0.1;2.1;0.0;0.2;0.0;0.00
FARO;554;2014;1;3;17.6;82.0;12.0;0.4;81.7;12.7;488.1;2.5;23.9;4.6;0.41
EVORA/CC;558;2014;1;3;13.4;94.0;10.0;2.0;22.4;0.1;115.0;0.0;0.2;0.0;0.00
VISEU/CC;560;2014;1;3;9.3;98.0;10.0;54.0;2.9;0.0;1.4;0.0;0.0;0.0;0.00
BEJA;562;2014;1;3;15.9;84.0;10.0;2.2;49.8;2.9;429.5;0.3;5.7;0.1;0.00
V.REAL;567;2014;1;3;11.1;93.0;4.0;38.0;7.4;0.1;1.7;0.0;0.2;0.0;0.00
P.DOURADAS;568;2014;1;3;4.4;92.0;28.0;67.0;12.4;0.1;0.5;0.0;0.1;0.0;0.00
C.BRANCO;570;2014;1;3;12.8;100.0;9.0;5.0;0.0;0.0;2.0;0.0;0.0;0.0;0.00
PORTALEGRE;571;2014;1;3;11.6;97.0;9.0;3.2;18.0;16.4;209.7;0.0;27.5;0.0;0.00
BRAGANCA;575;2014;1;3;10.1;85.0;6.0;27.0;15.0;0.2;1.5;0.0;0.3;0.0;0.00
LISBOA/GC;579;2014;1;3;14.5;95.0;9.0;4.0;17.9;0.1;88.6;0.0;0.2;0.0;0.00
MONCAO;605;2014;1;3;13.8;76.0;10.0;39.8;27.2;0.7;2.2;0.0;0.8;0.0;0.00
LAM.MOURO;606;2014;1;3;8.2;79.0;16.0;33.7;23.4;0.2;1.2;0.0;0.3;0.0;0.00
MONTALEGRE;611;2014;1;3;7.6;88.0;16.0;39.0;15.7;0.1;1.1;0.0;0.2;0.0;0.00
P.LIMA;615;2014;1;3;13.6;86.0;3.0;32.3;13.6;0.3;2.2;0.0;0.4;0.0;0.00
CHAVES;616;2014;1;3;12.5;83.0;4.0;19.0;16.3;0.3;2.0;0.0;0.4;0.0;0.00
CABRIL;619;2014;1;3;10.7;86.0;16.0;32.6;19.7;0.2;1.6;0.0;0.3;0.0;0.00
BRAGA;622;2014;1;3;13.6;88.0;3.0;27.4;12.0;0.2;2.2;0.0;0.3;0.0;0.00
C.BASTO;630;2014;1;3;12.7;88.0;4.0;31.5;12.5;0.2;2.0;0.0;0.3;0.0;0.00
MIRANDELA;632;2014;1;3;13.4;85.0;6.0;20.9;17.0;0.3;42.7;0.0;0.5;0.0;0.00
MCAVALEIRO;633;2014;1;3;10.6;88.0;17.0;20.4;17.9;0.2;1.6;0.0;0.3;0.0;0.00
M.DOURO;635;2014;1;3;10.0;99.0;17.0;23.0;1.8;0.0;33.9;0.0;0.0;0.0;0.00
MOGADOURO;637;2014;1;3;10.0;90.0;17.0;22.7;15.2;0.1;1.5;0.0;0.2;0.0;0.00
C.ANSIAES;644;2014;1;3;10.1;80.0;17.0;30.6;24.8;0.3;1.5;0.0;0.4;0.0;0.00
MONCORVO;654;2014;1;3;11.6;85.0;17.0;30.3;21.8;0.2;1.8;0.0;0.4;0.0;0.00
MOIM.BEIRA;663;2014;1;3;10.2;83.0;10.0;39.9;19.1;0.2;1.5;0.0;0.3;0.0;0.00
TRANCOSO;666;2014;1;3;8.9;86.0;10.0;36.8;15.8;0.2;1.3;0.0;0.3;0.0;0.00
AROUCA;669;2014;1;3;12.2;85.0;1.0;60.9;11.0;0.2;1.9;0.0;0.4;0.0;0.00
FC.RODRIGO;671;2014;1;3;10.5;87.0;28.0;32.5;22.5;0.2;1.6;0.0;0.3;0.0;0.00
GUARDA;683;2014;1;3;7.9;88.0;10.0;30.0;13.6;0.1;1.1;0.0;0.2;0.0;0.00
NELAS;685;2014;1;3;11.0;91.0;10.0;43.1;12.1;0.1;1.7;0.0;0.2;0.0;0.00
PAMP.SERRA;686;2014;1;3;8.4;100.0;16.0;0.0;14.5;0.1;3.2;0.0;0.2;0.0;0.00
COVILHA;687;2014;1;3;11.6;87.0;9.0;21.1;17.1;0.2;1.8;0.0;0.3;0.0;0.00
LOUSA;697;2014;1;3;13.1;98.0;10.0;25.4;5.0;0.0;2.1;0.0;0.1;0.0;0.00
AVEIRO/UNI;702;2014;1;3;15.4;86.0;8.0;27.0;19.2;0.3;2.5;0.0;0.4;0.0;0.00
ANADIA;705;2014;1;3;13.5;100.0;5.0;35.6;0.0;0.0;2.1;0.0;0.0;0.0;0.00
FIG.FOZ;713;2014;1;3;13.4;98.0;8.0;23.6;3.1;0.0;2.1;0.0;0.1;0.0;0.00
ANSIAO;716;2014;1;3;11.2;98.0;16.0;11.7;3.7;0.0;1.7;0.0;0.1;0.0;0.00
LEIRIA/Aer;718;2014;1;3;12.6;93.0;1.0;0.0;77.6;42.8;367.0;1.0;66.3;3.4;0.24
TOMAR;724;2014;1;3;13.2;99.0;5.0;11.7;1.7;0.0;55.3;0.0;0.0;0.0;0.00
ALCOBACA;726;2014;1;3;12.3;90.0;1.0;28.0;8.1;0.2;1.9;0.0;0.3;0.0;0.00
R.MAIOR;729;2014;1;3;13.4;100.0;5.0;16.5;0.0;0.0;2.1;0.0;0.0;0.0;0.00
SANTAREMFB;734;2014;1;3;12.8;100.0;5.0;0.0;72.3;9.1;293.1;0.9;16.9;0.7;0.01
D.PORTOS;739;2014;1;3;12.7;98.0;9.0;5.0;12.5;0.0;166.7;0.0;0.1;0.0;0.00
CORUCHE;744;2014;1;3;15.3;98.0;6.0;4.0;10.6;0.0;171.7;0.0;0.1;0.0;0.00
LAVRADIO;766;2014;1;3;15.3;97.0;9.0;5.3;12.0;0.1;132.3;0.0;0.1;0.0;0.00
SETUBAL;770;2014;1;3;15.3;98.0;6.0;3.9;11.9;0.0;79.8;0.0;0.1;0.0;0.00
ALCAC. SAL;776;2014;1;3;15.2;98.0;2.0;4.0;17.2;0.5;352.1;0.0;1.1;0.0;0.00
ALVALADE;783;2014;1;3;16.6;89.0;2.0;2.6;41.9;3.5;601.6;0.1;6.9;0.0;0.00
SABUGAL;800;2014;1;3;9.3;89.0;16.0;22.4;15.8;0.1;1.4;0.0;0.2;0.0;0.00
ZEBREIRA;803;2014;1;3;12.9;93.0;9.0;10.8;10.6;0.1;2.0;0.0;0.2;0.0;0.00
PROENCA;806;2014;1;3;12.3;95.0;9.0;11.7;7.4;0.1;1.9;0.0;0.1;0.0;0.00
