ESTACAO;NUM;ANO;MES;DIA;TEMP;HR;VENTO;PREC;FFMC;DMC;DC;ISI;BUI;FWI;DSR
SAGRES;533;2012;1;1;15.8;71.0;11.0;0.0;84.8;17.7;350.5;3.6;31.4;7.7;1.00
SINES/MC;541;2012;1;1;14.3;72.0;12.0;0.0;84.2;17.6;217.1;3.5;29.3;7.1;0.88
PORTO/PR;545;2012;1;1;12.8;79.0;15.0;0.8;79.7;9.9;33.3;2.4;11.3;2.5;0.14
COIMBRA/CE;548;2012;1;1;13.3;77.0;10.0;0.0;83.5;7.4;82.6;2.9;12.1;3.3;0.23
V.CASTELO;551;2012;1;1;13.0;89.0;6.0;1.5;67.1;5.6;30.5;0.8;7.7;0.4;0.01
FARO;554;2012;1;1;15.8;70.0;7.0;0.0;85.6;25.8;257.7;3.2;41.3;8.3;1.15
EVORA/CC;558;2012;1;1;11.1;100.0;8.0;0.0;76.1;13.8;243.2;1.2;24.2;1.8;0.08
VISEU/CC;560;2012;1;1;9.1;86.0;10.0;0.0;81.7;8.6;26.1;2.3;9.4;2.0;0.09
BEJA;562;2012;1;1;10.9;97.0;9.0;0.1;77.6;14.0;175.8;1.4;23.4;2.3;0.12
V.REAL;567;2012;1;1;11.1;76.0;10.0;0.0;83.0;4.4;73.4;2.7;7.6;2.2;0.11
P.DOURADAS;568;2012;1;1;9.9;59.0;14.0;0.0;84.1;9.4;20.3;3.8;9.3;3.8;0.30
C.BRANCO;570;2012;1;1;7.6;91.0;6.0;0.0;80.9;14.3;61.1;1.7;18.0;2.3;0.12
PORTALEGRE;571;2012;1;1;9.7;83.0;22.0;0.0;82.2;9.0;78.8;4.4;14.0;5.8;0.61
BRAGANCA;575;2012;1;1;10.0;77.0;6.0;0.0;81.5;3.2;65.5;1.8;5.7;0.8;0.02
LISBOA/GC;579;2012;1;1;14.1;71.0;7.0;0.0;84.4;12.7;95.1;2.8;19.1;4.4;0.37
MONCAO;605;2012;1;1;13.2;77.0;23.0;0.5;82.0;4.9;23.5;4.6;6.4;3.9;0.30
LAM.MOURO;606;2012;1;1;7.0;90.0;16.0;3.0;49.8;5.6;19.5;0.4;6.5;0.2;0.00
MONTALEGRE;611;2012;1;1;6.2;87.0;16.0;0.0;80.2;6.6;18.1;2.6;6.9;1.9;0.09
P.LIMA;615;2012;1;1;12.9;100.0;6.0;2.0;54.5;3.5;211.1;0.4;6.8;0.2;0.00
CHAVES;616;2012;1;1;11.3;85.0;14.0;0.0;77.5;3.7;168.6;1.8;7.1;0.9;0.02
CABRIL;619;2012;1;1;8.2;99.0;12.0;1.0;73.1;7.1;22.6;1.3;8.0;0.7;0.01
BRAGA;622;2012;1;1;13.0;85.0;10.0;1.0;75.4;5.7;25.4;1.3;7.3;0.7;0.01
C.BASTO;630;2012;1;1;12.2;81.0;12.0;0.0;82.2;5.3;22.2;2.7;6.6;2.0;0.09
MIRANDELA;632;2012;1;1;12.6;75.0;14.0;0.0;77.1;5.1;257.2;1.8;9.8;1.3;0.04
MCAVALEIRO;633;2012;1;1;9.2;86.0;10.0;0.0;80.8;3.9;198.0;2.1;7.4;1.3;0.04
M.DOURO;635;2012;1;1;7.6;98.0;10.0;0.0;75.2;2.9;355.2;1.3;5.7;0.6;0.01
MOGADOURO;637;2012;1;1;8.2;83.0;12.0;0.0;81.2;3.6;300.1;2.4;7.0;1.7;0.07
C.ANSIAES;644;2012;1;1;9.7;77.0;14.0;0.0;83.0;4.7;163.4;3.3;8.8;3.1;0.21
MONCORVO;654;2012;1;1;9.9;77.0;5.0;0.0;80.8;4.1;305.1;1.6;8.0;0.9;0.02
MOIM.BEIRA;663;2012;1;1;9.9;75.0;13.0;0.0;83.8;6.2;109.7;3.5;10.9;3.9;0.30
TRANCOSO;666;2012;1;1;5.7;97.0;18.0;0.1;77.5;6.9;173.1;2.2;12.6;2.5;0.14
AROUCA;669;2012;1;1;12.5;75.0;7.0;0.0;83.8;7.3;26.8;2.5;8.7;2.2;0.11
FC.RODRIGO;671;2012;1;1;9.2;85.0;12.0;0.1;81.4;4.3;388.0;2.4;8.3;2.0;0.09
GUARDA;683;2012;1;1;6.1;100.0;4.0;0.2;77.2;5.9;20.3;1.1;6.8;0.5;0.01
NELAS;685;2012;1;1;11.1;82.0;10.0;0.0;82.5;7.8;75.7;2.5;12.4;2.9;0.18
PAMP.SERRA;686;2012;1;1;7.4;100.0;9.0;0.0;77.0;25.9;305.1;1.4;42.7;3.6;0.27
COVILHA;687;2012;1;1;8.6;86.0;2.0;0.0;82.1;48.3;846.4;1.6;84.5;7.0;0.84
LOUSA;697;2012;1;1;13.0;88.0;10.0;0.0;81.3;17.1;351.0;2.2;30.5;4.6;0.41
AVEIRO/UNI;702;2012;1;1;14.3;72.0;8.0;0.0;84.5;11.7;40.6;3.0;13.6;3.7;0.28
ANADIA;705;2012;1;1;13.3;80.0;4.0;0.0;83.2;8.6;47.5;2.0;11.8;2.1;0.10
FIG.FOZ;713;2012;1;1;14.7;69.0;11.0;0.0;83.6;9.0;89.2;3.1;14.4;4.0;0.32
ANSIAO;716;2012;1;1;11.4;88.0;10.0;0.0;80.5;6.4;25.8;2.0;7.9;1.3;0.04
LEIRIA/Aer;718;2012;1;1;14.4;71.0;12.0;0.0;82.7;6.8;48.5;2.8;10.0;2.9;0.18
TOMAR;724;2012;1;1;9.4;100.0;2.0;0.1;76.8;7.8;96.7;0.9;13.0;0.7;0.01
