ESTACAO;NUM;ANO;MES;DIA;TEMP;HR;VENTO;PREC;FFMC;DMC;DC;ISI;BUI;FWI;DSR
SAGRES;533;2003;1;1;16.7;83.0;13.0;0.0;77.6;2.6;199.0;1.7;5.0;0.8;0.02
SINES/MC;541;2003;1;1;15.7;95.0;18.0;0.0;53.5;0.5;32.3;0.6;1.0;0.2;0.00
PORTO/PR;545;2003;1;1;15.7;93.0;26.0;34.0;23.7;0.1;2.5;0.0;0.3;0.0;0.00
COIMBRA/CE;548;2003;1;1;14.9;100.0;10.0;13.0;5.9;0.0;2.4;0.0;0.0;0.0;0.00
V.CASTELO;551;2003;1;1;15.8;96.0;21.0;30.0;15.1;0.1;2.5;0.0;0.2;0.0;0.00
FARO;554;2003;1;1;17.2;89.0;9.0;0.0;74.7;1.8;133.2;1.2;3.6;0.4;0.01
EVORA/CC;558;2003;1;1;13.3;95.0;11.0;0.2;60.7;0.6;65.8;0.7;1.2;0.2;0.00
VISEU/CC;560;2003;1;1;12.7;99.0;22.0;15.0;2.2;0.0;2.0;0.0;0.0;0.0;0.00
BEJA;562;2003;1;1;12.4;98.0;15.0;0.0;56.2;0.2;169.2;0.7;0.5;0.2;0.00
V.REAL;567;2003;1;1;14.2;87.0;18.0;12.0;26.1;0.2;2.3;0.0;0.4;0.0;0.00
P.DOURADAS;568;2003;1;1;10.0;100.0;25.0;20.0;2.3;0.0;1.5;0.0;0.0;0.0;0.00
C.BRANCO;570;2003;1;1;12.2;100.0;9.0;6.0;6.7;0.0;1.9;0.0;0.0;0.0;0.00
PORTALEGRE;571;2003;1;1;11.2;96.0;11.0;12.0;10.1;0.1;1.7;0.0;0.1;0.0;0.00
BRAGANCA;575;2003;1;1;11.0;100.0;8.0;8.0;5.3;0.0;1.7;0.0;0.0;0.0;0.00
LISBOA/GC;579;2003;1;1;16.3;97.0;17.0;4.0;35.5;0.1;3.8;0.0;0.1;0.0;0.00
MONCAO;605;2003;1;1;16.5;95.0;24.0;0.0;64.6;0.6;13.0;1.7;1.1;0.5;0.01
LAM.MOURO;606;2003;1;1;11.9;94.0;23.0;8.0;24.2;0.1;1.8;0.0;0.2;0.0;0.00
MONTALEGRE;611;2003;1;1;11.3;91.0;24.0;17.0;20.5;0.1;1.7;0.0;0.2;0.0;0.00
P.LIMA;615;2003;1;1;16.9;82.0;19.0;30.0;34.2;0.4;2.7;0.0;0.6;0.0;0.00
CHAVES;616;2003;1;1;15.8;88.0;18.0;8.0;31.7;0.2;2.5;0.0;0.4;0.0;0.00
