ESTACAO;NUM;ANO;MES;DIA;TEMP;HR;VENTO;PREC;FFMC;DMC;DC;ISI;BUI;FWI;DSR
SAGRES;533;2010;1;1;16.5;56.0;24.0;0.6;76.7;1.6;717.2;2.9;3.1;1.1;0.03
SINES/MC;541;2010;1;1;13.9;66.0;32.0;2.0;62.9;0.6;97.5;2.4;1.2;0.7;0.01
PORTO/PR;545;2010;1;1;11.8;75.0;15.0;17.0;33.3;0.4;1.8;0.0;0.5;0.0;0.00
COIMBRA/CE;548;2010;1;1;10.5;89.0;11.0;12.0;18.9;0.2;1.6;0.0;0.3;0.0;0.00
V.CASTELO;551;2010;1;1;11.6;70.0;0.0;13.0;16.2;0.5;1.8;0.0;0.6;0.0;0.00
FARO;554;2010;1;1;16.3;62.0;30.0;1.0;67.8;1.1;33.4;2.6;2.1;0.8;0.02
EVORA/CC;558;2010;1;1;12.9;77.0;34.0;3.0;42.4;0.4;22.8;0.3;0.8;0.1;0.00
VISEU/CC;560;2010;1;1;6.6;94.0;19.0;17.0;9.1;0.1;0.9;0.0;0.1;0.0;0.00
BEJA;562;2010;1;1;11.3;80.0;27.0;5.0;40.5;0.3;93.7;0.1;0.6;0.0;0.00
V.REAL;567;2010;1;1;7.4;82.0;8.0;20.0;16.9;0.2;1.0;0.0;0.3;0.0;0.00
P.DOURADAS;568;2010;1;1;0.8;100.0;50.0;8.0;0.0;0.0;0.0;0.0;0.0;0.0;0.00
C.BRANCO;570;2010;1;1;10.8;71.0;28.0;6.0;40.1;0.4;1.6;0.1;0.5;0.0;0.00
PORTALEGRE;571;2010;1;1;6.7;95.0;30.0;4.0;9.3;0.0;0.9;0.0;0.1;0.0;0.00
BRAGANCA;575;2010;1;1;5.6;84.0;17.0;8.0;21.6;0.1;0.7;0.0;0.2;0.0;0.00
LISBOA/GC;579;2010;1;1;14.1;63.0;23.0;4.0;54.8;0.7;2.2;0.9;0.8;0.2;0.00
MONCAO;605;2010;1;1;11.2;71.0;8.0;0.0;59.8;0.8;5.0;0.6;1.2;0.2;0.00
LAM.MOURO;606;2010;1;1;3.7;97.0;9.0;21.0;3.3;0.0;0.4;0.0;0.0;0.0;0.00
MONTALEGRE;611;2010;1;1;2.8;86.0;14.0;24.0;14.0;0.1;0.2;0.0;0.1;0.0;0.00
P.LIMA;615;2010;1;1;11.8;64.0;5.0;19.0;28.9;0.6;1.8;0.0;0.6;0.0;0.00
CHAVES;616;2010;1;1;8.4;74.0;12.0;16.0;26.2;0.3;1.2;0.0;0.4;0.0;0.00
CABRIL;619;2010;1;1;7.2;88.0;12.0;32.0;14.0;0.1;1.0;0.0;0.2;0.0;0.00
BRAGA;622;2010;1;1;11.9;64.0;9.0;18.0;32.8;0.6;1.8;0.0;0.6;0.0;0.00
C.BASTO;630;2010;1;1;10.3;73.0;10.0;21.0;26.6;0.4;1.6;0.0;0.5;0.0;0.00
MIRANDELA;632;2010;1;1;11.0;66.0;19.0;8.0;40.0;0.5;1.7;0.1;0.6;0.0;0.00
MCAVALEIRO;633;2010;1;1;5.7;98.0;17.0;16.0;3.1;0.0;0.7;0.0;0.0;0.0;0.00
M.DOURO;635;2010;1;1;7.4;87.0;31.0;9.0;20.8;0.1;1.0;0.0;0.2;0.0;0.00
MOGADOURO;637;2010;1;1;7.3;93.0;43.0;0.0;69.7;0.5;6.8;5.4;0.8;2.1;0.10
C.ANSIAES;644;2010;1;1;6.3;85.0;4.0;29.0;11.7;0.1;0.8;0.0;0.2;0.0;0.00
MONCORVO;654;2010;1;1;8.9;75.0;21.0;2.4;57.8;0.3;28.6;1.0;0.6;0.2;0.00
MOIM.BEIRA;663;2010;1;1;8.4;77.0;28.0;20.0;30.5;0.3;1.2;0.0;0.3;0.0;0.00
TRANCOSO;666;2010;1;1;5.6;87.0;30.0;8.7;20.3;0.1;0.7;0.0;0.2;0.0;0.00
AROUCA;669;2010;1;1;10.4;77.0;10.0;4.3;36.1;0.3;1.6;0.0;0.4;0.0;0.00
FC.RODRIGO;671;2010;1;1;7.8;83.0;37.0;4.0;35.7;0.2;141.3;0.1;0.4;0.0;0.00
GUARDA;683;2010;1;1;3.8;100.0;43.0;9.0;0.0;0.0;0.4;0.0;0.0;0.0;0.00
NELAS;685;2010;1;1;9.1;96.0;8.0;17.0;5.1;0.1;1.3;0.0;0.1;0.0;0.00
PAMP.SERRA;686;2010;1;1;5.3;100.0;25.0;1.5;20.0;0.1;1.3;0.0;0.2;0.0;0.00
COVILHA;687;2010;1;1;10.2;68.0;12.0;28.0;29.4;0.4;1.5;0.0;0.5;0.0;0.00
LOUSA;697;2010;1;1;12.3;86.0;11.0;2.6;52.5;0.2;26.8;0.4;0.5;0.1;0.00
AVEIRO/UNI;702;2010;1;1;13.3;69.0;26.0;6.0;51.5;0.5;2.1;0.7;0.7;0.2;0.00
ANADIA;705;2010;1;1;14.1;72.0;9.0;4.1;32.0;0.5;2.2;0.0;0.7;0.0;0.00
FIG.FOZ;713;2010;1;1;13.8;73.0;18.0;4.0;48.6;0.5;2.2;0.3;0.6;0.1;0.00
ANSIAO;716;2010;1;1;9.2;97.0;19.0;13.0;6.7;0.0;1.4;0.0;0.1;0.0;0.00
LEIRIA/Aer;718;2010;1;1;13.4;81.0;13.0;7.7;29.9;0.3;135.3;0.0;0.7;0.0;0.00
TOMAR;724;2010;1;1;12.3;87.0;19.0;7.0;21.0;0.2;1.9;0.0;0.3;0.0;0.00
ALCOBACA;726;2010;1;1;14.1;70.0;13.0;7.0;40.8;0.6;2.2;0.1;0.7;0.0;0.00
R.MAIOR;729;2010;1;1;13.7;71.0;14.0;13.0;37.1;0.5;2.2;0.0;0.7;0.0;0.00
SANTAREMFB;734;2010;1;1;12.6;77.0;20.0;6.0;37.1;0.4;2.0;0.1;0.5;0.0;0.00
D.PORTOS;739;2010;1;1;13.6;78.0;29.0;8.9;40.0;0.4;61.9;0.2;0.8;0.0;0.00
CORUCHE;744;2010;1;1;14.1;76.0;23.0;4.0;44.7;0.4;318.8;0.2;0.9;0.1;0.00
LAVRADIO;766;2010;1;1;14.9;64.0;19.0;2.0;62.3;0.7;35.6;1.2;1.4;0.3;0.00
SETUBAL;770;2010;1;1;15.1;64.0;19.0;4.0;52.6;0.7;2.4;0.6;0.8;0.1;0.00
ALCAC. SAL;776;2010;1;1;14.9;63.0;31.0;2.5;63.8;0.7;165.9;2.4;1.4;0.7;0.01
ALVALADE;783;2010;1;1;14.3;66.0;25.0;0.6;75.6;1.3;79.6;2.8;2.6;0.9;0.02
SABUGAL;800;2010;1;1;5.8;100.0;5.0;12.0;0.0;0.0;0.7;0.0;0.0;0.0;0.00
ZEBREIRA;803;2010;1;1;9.5;91.0;31.0;3.0;22.7;0.1;1.4;0.0;0.2;0.0;0.00
PROENCA;806;2010;1;1;9.9;91.0;30.0;13.0;17.1;0.1;1.5;0.0;0.2;0.0;0.00
ALVEGA;812;2010;1;1;11.9;91.0;14.0;2.5;19.9;0.1;142.5;0.0;0.3;0.0;0.00
AVIS;824;2010;1;1;12.3;74.0;19.0;1.0;39.6;0.5;248.2;0.1;1.1;0.0;0.00
ELVAS;835;2010;1;1;13.1;64.0;19.0;6.0;50.1;0.6;2.1;0.4;0.7;0.1;0.00
ESTREMOZ;837;2010;1;1;11.4;79.0;18.0;8.0;32.4;0.3;311.2;0.0;0.6;0.0;0.00
