ESTACAO;NUM;ANO;MES;DIA;TEMP;HR;VENTO;PREC;FFMC;DMC;DC;ISI;BUI;FWI;DSR
V.CASTELO;551;2015;1;1;11.4;49.0;5.0;0.0;85.7;6.8;16.8;2.9;6.8;2.3;0.12
MONCAO;605;2015;1;1;10.4;46.0;5.0;0.1;85.9;6.8;16.6;3.0;6.8;2.4;0.13
LAM.MOURO;606;2015;1;1;13.8;29.0;6.0;0.0;88.7;7.3;17.2;4.8;7.3;4.3;0.37
P.LIMA;615;2015;1;1;10.4;46.0;5.0;0.1;85.9;6.8;16.6;3.0;6.8;2.4;0.13
BRAGA;622;2015;1;1;10.1;56.0;5.0;0.2;85.0;6.6;16.5;2.7;6.6;2.0;0.09
CABRIL;619;2015;1;1;13.9;39.0;2.0;0.0;87.1;7.1;17.2;3.1;7.1;2.6;0.14
PORTO/PR;545;2015;1;1;13.4;38.0;6.0;0.0;87.3;7.1;17.1;3.9;7.1;3.4;0.24
V.REAL;567;2015;1;1;9.7;56.0;2.0;0.0;85.0;6.6;16.5;2.4;6.6;1.6;0.06
CHAVES;616;2015;1;1;3.6;72.0;3.0;0.1;83.7;6.2;15.4;2.0;6.2;0.9;0.02
MONTALEGRE;611;2015;1;1;11.7;38.0;0.0;0.0;86.7;7.0;16.8;2.7;7.0;2.1;0.10
C.BASTO;630;2015;1;1;11.3;55.0;4.0;0.0;85.1;6.7;16.7;2.6;6.7;1.8;0.08
BRAGANCA;575;2015;1;1;6.0;67.0;3.0;0.0;84.4;6.3;15.8;2.2;6.3;1.3;0.04
MIRANDELA;632;2015;1;1;4.1;76.0;2.0;0.1;83.3;6.2;15.4;1.9;6.2;0.9;0.02
M.DOURO;635;2015;1;1;7.7;47.0;1.0;0.0;85.5;6.6;16.1;2.4;6.6;1.6;0.06
MOGADOURO;637;2015;1;1;9.8;47.0;6.0;0.0;85.8;6.7;16.5;3.2;6.7;2.6;0.14
MCAVALEIRO;633;2015;1;1;8.3;67.0;3.0;0.0;84.5;6.4;16.2;2.3;6.4;1.5;0.05
C.ANSIAES;644;2015;1;1;10.4;43.0;1.0;0.1;86.1;6.8;16.6;2.6;6.8;1.9;0.09
MONCORVO;654;2015;1;1;6.3;59.0;5.0;0.0;85.0;6.4;15.8;2.7;6.4;1.9;0.09
AVEIRO/UNI;702;2015;1;1;10.9;62.0;4.0;0.0;85.0;6.6;16.7;2.5;6.6;1.8;0.08
ANADIA;705;2015;1;1;14.1;45.0;4.0;0.0;86.5;7.0;17.2;3.2;7.0;2.6;0.15
AROUCA;669;2015;1;1;11.4;48.0;3.0;0.1;85.8;6.8;16.8;2.7;6.8;2.0;0.09
VISEU/CC;560;2015;1;1;13.4;30.0;17.0;0.0;88.8;7.2;17.1;8.7;7.2;7.7;1.02
MOIM.BEIRA;663;2015;1;1;9.2;48.0;1.0;0.0;85.5;6.7;16.4;2.3;6.7;1.6;0.06
