ESTACAO;NUM;ANO;MES;DIA;TEMP;HR;VENTO;PREC;FFMC;DMC;DC;ISI;BUI;FWI;DSR
SAGRES;533;2004;1;1;16.4;77.0;14.0;0.0;83.7;9.9;160.5;3.6;17.1;5.3;0.52
SINES/MC;541;2004;1;1;14.1;97.0;9.0;0.0;75.8;4.5;118.3;1.3;8.1;0.7;0.01
PORTO/PR;545;2004;1;1;13.8;94.0;19.0;11.0;16.9;0.3;2.2;0.0;0.4;0.0;0.00
COIMBRA/CE;548;2004;1;1;12.9;100.0;6.0;2.0;20.7;0.8;30.0;0.0;1.6;0.0;0.00
V.CASTELO;551;2004;1;1;14.6;94.0;9.0;16.0;9.5;0.1;2.3;0.0;0.2;0.0;0.00
FARO;554;2004;1;1;16.2;69.0;15.0;0.0;85.1;12.5;134.8;4.5;20.2;7.3;0.92
EVORA/CC;558;2004;1;1;13.0;90.0;17.0;0.6;78.2;6.1;224.6;2.3;11.4;2.3;0.12
VISEU/CC;560;2004;1;1;8.5;99.0;8.0;1.0;16.8;0.3;3.9;0.0;0.5;0.0;0.00
BEJA;562;2004;1;1;13.3;95.0;16.0;0.0;76.7;4.2;92.8;1.9;7.5;1.0;0.03
V.REAL;567;2004;1;1;10.7;98.0;5.0;0.4;27.3;0.1;4.7;0.0;0.2;0.0;0.00
P.DOURADAS;568;2004;1;1;7.1;99.0;55.0;3.0;2.6;0.0;1.0;0.0;0.0;0.0;0.00
C.BRANCO;570;2004;1;1;13.3;89.0;16.0;0.0;78.2;2.9;19.3;2.2;4.2;0.9;0.02
PORTALEGRE;571;2004;1;1;9.6;100.0;16.0;0.9;64.8;4.5;23.3;1.2;6.1;0.5;0.01
BRAGANCA;575;2004;1;1;12.8;84.0;18.0;0.0;74.5;1.3;7.2;1.8;1.8;0.6;0.01
LISBOA/GC;579;2004;1;1;14.8;90.0;16.0;1.0;72.9;5.4;28.5;1.6;7.3;0.8;0.02
MONCAO;605;2004;1;1;14.1;97.0;4.0;0.0;13.6;0.3;215.1;0.0;0.5;0.0;0.00
LAM.MOURO;606;2004;1;1;9.1;97.0;1.0;0.0;15.8;0.1;3.7;0.0;0.3;0.0;0.00
MONTALEGRE;611;2004;1;1;9.6;94.0;15.0;1.0;36.4;0.2;90.6;0.0;0.4;0.0;0.00
P.LIMA;615;2004;1;1;13.5;97.0;4.0;5.0;6.7;0.1;2.1;0.0;0.1;0.0;0.00
CHAVES;616;2004;1;1;12.5;94.0;1.0;0.1;62.9;1.1;8.1;0.5;1.6;0.1;0.00
CABRIL;619;2004;1;1;10.4;98.0;1.0;2.0;1.6;0.0;4.4;0.0;0.1;0.0;0.00
BRAGA;622;2004;1;1;12.1;100.0;0.0;0.1;14.2;0.0;5.8;0.0;0.0;0.0;0.00
C.BASTO;630;2004;1;1;12.6;97.0;1.0;1.1;39.3;5.0;97.3;0.0;8.8;0.0;0.00
MIRANDELA;632;2004;1;1;11.3;92.0;2.0;0.0;73.7;1.3;58.4;0.8;2.5;0.3;0.00
MCAVALEIRO;633;2004;1;1;11.1;90.0;11.0;0.0;74.4;7.9;314.9;1.3;14.8;1.0;0.03
M.DOURO;635;2004;1;1;9.5;97.0;11.0;0.1;74.8;1.0;46.0;1.3;2.0;0.4;0.01
MOGADOURO;637;2004;1;1;10.6;90.0;11.0;0.0;78.1;24.1;773.7;1.7;44.8;4.6;0.41
C.ANSIAES;644;2004;1;1;10.6;96.0;11.0;0.4;62.9;1.2;8.3;0.8;1.7;0.2;0.00
MONCORVO;654;2004;1;1;12.7;83.0;14.0;0.0;80.6;42.1;929.5;2.5;75.6;9.5;1.47
MOIM.BEIRA;663;2004;1;1;10.6;97.0;8.0;0.4;56.3;2.4;28.9;0.5;4.0;0.2;0.00
TRANCOSO;666;2004;1;1;9.8;96.0;38.0;0.5;73.7;5.5;198.5;4.9;10.2;5.3;0.53
AROUCA;669;2004;1;1;12.7;97.0;8.0;0.0;26.3;0.4;5.8;0.0;0.6;0.0;0.00
FC.RODRIGO;671;2004;1;1;11.0;92.0;24.0;0.0;75.9;4.1;330.3;2.7;8.0;2.3;0.12
GUARDA;683;2004;1;1;9.2;100.0;38.0;0.0;51.5;0.5;5.3;1.3;0.8;0.3;0.00
NELAS;685;2004;1;1;10.4;98.0;9.0;0.5;25.9;0.9;9.4;0.0;1.5;0.0;0.00
PAMP.SERRA;686;2004;1;1;10.7;96.0;24.0;0.7;52.3;2.6;8.5;0.7;2.9;0.2;0.00
COVILHA;687;2004;1;1;11.7;89.0;2.0;0.1;78.6;4.0;28.6;1.1;5.9;0.5;0.01
LOUSA;697;2004;1;1;13.7;99.0;6.0;0.0;28.3;0.2;45.8;0.0;0.4;0.0;0.00
AVEIRO/UNI;702;2004;1;1;13.9;95.0;19.0;6.0;18.7;0.5;41.3;0.0;0.9;0.0;0.00
ANADIA;705;2004;1;1;13.8;98.0;6.0;0.0;69.5;11.4;230.1;0.8;20.3;0.8;0.02
FIG.FOZ;713;2004;1;1;14.7;100.0;12.0;3.0;13.4;1.5;21.6;0.0;2.6;0.0;0.00
ANSIAO;716;2004;1;1;12.7;98.0;6.0;1.4;45.8;5.5;57.1;0.1;8.9;0.1;0.00
LEIRIA/Aer;718;2004;1;1;14.2;97.0;14.0;2.5;42.5;1.9;33.6;0.1;3.4;0.0;0.00
TOMAR;724;2004;1;1;14.2;97.0;12.0;1.1;67.3;8.1;190.0;1.0;14.6;0.8;0.02
ALCOBACA;726;2004;1;1;14.2;96.0;14.0;2.0;41.6;2.4;29.9;0.1;4.0;0.0;0.00
R.MAIOR;729;2004;1;1;14.6;98.0;7.0;1.5;59.7;4.4;29.8;0.6;6.5;0.3;0.00
SANTAREMFB;734;2004;1;1;15.1;95.0;12.0;0.1;77.4;4.6;29.4;1.6;6.6;0.8;0.02
D.PORTOS;739;2004;1;1;14.6;86.0;7.0;0.6;76.1;4.0;353.8;1.2;7.7;0.6;0.01
CORUCHE;744;2004;1;1;14.2;99.0;10.0;0.0;74.7;3.9;152.1;1.3;7.4;0.6;0.01
LAVRADIO;766;2004;1;1;15.3;92.0;14.0;0.4;78.8;3.8;61.2;2.0;6.5;1.0;0.03
SETUBAL;770;2004;1;1;15.2;88.0;9.0;0.0;80.5;5.4;32.2;1.9;7.7;1.0;0.03
ALCAC. SAL;776;2004;1;1;14.6;86.0;10.0;0.0;80.5;6.2;240.6;2.0;11.6;2.0;0.09
ALVALADE;783;2004;1;1;15.2;84.0;16.0;0.0;81.8;6.4;87.6;3.1;10.9;3.4;0.24
SABUGAL;800;2004;1;1;12.4;87.0;24.0;0.0;72.7;1.8;14.0;2.3;2.7;0.8;0.02
ZEBREIRA;803;2004;1;1;8.9;100.0;5.0;0.1;75.3;7.0;43.2;1.0;10.0;0.6;0.01
PROENCA;806;2004;1;1;12.6;96.0;18.0;0.0;68.6;2.8;17.2;1.5;3.9;0.6;0.01
ALVEGA;812;2004;1;1;14.2;96.0;10.0;0.3;74.4;4.8;89.6;1.2;8.4;0.7;0.01
AVIS;824;2004;1;1;13.0;97.0;8.0;0.4;76.2;3.2;182.0;1.2;6.0;0.6;0.01
ELVAS;835;2004;1;1;12.9;97.0;13.0;0.0;76.2;2.8;27.7;1.6;4.4;0.6;0.01
ESTREMOZ;837;2004;1;1;11.8;97.0;17.0;0.0;76.0;14.2;809.3;1.9;27.3;3.7;0.28
PORTEL;848;2004;1;1;13.4;92.0;11.0;0.2;77.6;5.4;242.8;1.6;10.3;1.0;0.03
AMARELEJA;850;2004;1;1;12.9;94.0;16.0;0.1;77.6;34.0;869.3;2.0;61.9;7.1;0.88
MERTOLA.VF;863;2004;1;1;12.8;96.0;12.0;0.0;76.2;3.5;70.2;1.5;6.2;0.7;0.01
N. CORVO;864;2004;1;1;12.5;91.0;13.0;0.0;79.4;7.1;455.6;2.1;13.6;2.4;0.12
ALCOUTIM;865;2004;1;1;11.8;92.0;16.0;0.0;79.0;9.7;177.7;2.3;17.1;3.3;0.22
C.MARIM;867;2004;1;1;15.0;77.0;16.0;0.0;83.5;9.0;124.6;3.9;15.2;5.3;0.52
PORTIMAO;878;2004;1;1;16.0;84.0;6.0;0.0;82.2;9.1;43.2;2.0;12.0;2.0;0.09
;;;;;;;;;;;;;;;
ESTACAO;NUM;ANO;MES;DIA;TEMP;HR;VENTO;PREC;FFMC;DMC;DC;ISI;BUI;FWI;DSR
SAGRES;533;2004;1;2;14.0;70.0;24.0;0.0;83.7;10.5;162.7;6.0;18.0;8.7;1.26
SINES/MC;541;2004;1;2;12.2;84.0;18.0;0.0;77.6;4.8;120.2;2.3;8.7;1.9;0.08
PORTO/PR;545;2004;1;2;13.5;60.0;14.0;0.0;51.8;1.0;4.3;0.4;1.3;0.1;0.00
COIMBRA/CE;548;2004;1;2;11.7;75.0;9.0;0.5;43.6;1.2;31.8;0.1;2.2;0.0;0.00
V.CASTELO;551;2004;1;2;14.0;57.0;12.0;0.0;46.9;0.9;4.5;0.2;1.2;0.1;0.00
FARO;554;2004;1;2;14.4;68.0;10.0;0.0;85.0;13.1;137.1;3.5;21.2;5.9;0.62
EVORA/CC;558;2004;1;2;13.1;65.0;13.0;0.0;81.7;6.7;226.7;2.6;12.5;3.1;0.20
VISEU/CC;560;2004;1;2;9.8;68.0;13.0;0.5;44.3;0.7;5.4;0.1;1.1;0.0;0.00
BEJA;562;2004;1;2;12.5;84.0;12.0;0.0;78.0;4.5;94.8;1.7;8.0;0.9;0.02
V.REAL;567;2004;1;2;9.8;67.0;19.0;0.0;54.8;0.5;6.2;0.7;0.9;0.2;0.00
P.DOURADAS;568;2004;1;2;7.3;37.0;5.0;0.0;34.2;0.7;2.0;0.0;0.7;0.0;0.00
C.BRANCO;570;2004;1;2;11.7;61.0;10.0;0.0;81.8;3.5;21.1;2.3;5.0;1.0;0.03
PORTALEGRE;571;2004;1;2;10.7;52.0;16.0;0.0;78.0;5.2;24.9;2.1;6.8;1.2;0.04
BRAGANCA;575;2004;1;2;4.0;87.0;4.0;0.0;75.2;1.4;7.6;0.9;1.9;0.3;0.00
LISBOA/GC;579;2004;1;2;13.4;63.0;19.0;0.0;80.4;6.1;30.6;3.1;8.1;2.8;0.17
MONCAO;605;2004;1;2;12.1;78.0;5.0;0.0;33.3;0.7;217.0;0.0;1.3;0.0;0.00
LAM.MOURO;606;2004;1;2;6.1;81.0;24.0;0.0;37.7;0.3;4.5;0.1;0.5;0.0;0.00
MONTALEGRE;611;2004;1;2;4.0;84.0;22.0;0.0;50.5;0.3;91.0;0.5;0.6;0.1;0.00
P.LIMA;615;2004;1;2;13.0;58.0;18.0;0.0;46.3;0.8;4.1;0.2;1.1;0.1;0.00
CHAVES;616;2004;1;2;11.5;66.0;17.0;0.0;75.1;1.6;9.9;1.8;2.3;0.6;0.01
CABRIL;619;2004;1;2;9.5;59.0;33.0;0.0;43.2;0.5;5.8;0.3;0.9;0.1;0.00
BRAGA;622;2004;1;2;13.5;60.0;14.0;0.0;49.8;0.7;7.9;0.3;1.2;0.1;0.00
C.BASTO;630;2004;1;2;13.7;54.0;3.0;0.0;61.9;5.8;99.5;0.5;10.2;0.3;0.00
MIRANDELA;632;2004;1;2;11.7;64.0;5.0;0.0;78.9;1.9;60.2;1.3;3.5;0.5;0.01
MCAVALEIRO;633;2004;1;2;6.7;81.0;5.0;0.0;76.2;8.1;315.8;1.1;15.2;0.8;0.02
M.DOURO;635;2004;1;2;6.8;82.0;1.0;0.1;76.0;1.2;46.9;0.9;2.2;0.3;0.00
MOGADOURO;637;2004;1;2;7.7;70.0;7.0;0.0;80.0;24.4;774.8;1.6;45.3;4.5;0.39
C.ANSIAES;644;2004;1;2;9.0;66.0;13.0;0.0;73.6;1.6;9.6;1.4;2.3;0.4;0.01
MONCORVO;654;2004;1;2;9.4;64.0;3.0;0.0;81.9;42.6;930.9;1.6;76.4;6.7;0.78
MOIM.BEIRA;663;2004;1;2;8.6;70.0;10.0;0.1;68.4;2.8;30.2;1.0;4.5;0.4;0.01
TRANCOSO;666;2004;1;2;7.1;72.0;10.0;0.0;77.4;5.8;199.5;1.5;10.8;0.9;0.02
AROUCA;669;2004;1;2;9.8;78.0;4.0;0.0;42.0;0.7;7.3;0.1;1.1;0.0;0.00
FC.RODRIGO;671;2004;1;2;7.9;80.0;3.0;0.0;77.3;4.3;331.4;1.0;8.4;0.6;0.01
GUARDA;683;2004;1;2;5.1;83.0;15.0;0.0;61.2;0.6;5.9;0.9;1.0;0.2;0.00
NELAS;685;2004;1;2;10.1;73.0;15.0;0.1;50.1;1.3;10.9;0.4;2.0;0.1;0.00
PAMP.SERRA;686;2004;1;2;8.8;68.0;6.0;0.0;65.4;3.0;9.8;0.7;3.4;0.3;0.00
COVILHA;687;2004;1;2;12.2;50.0;28.0;0.0;84.2;4.8;30.5;7.7;6.9;6.8;0.82
LOUSA;697;2004;1;2;13.0;71.0;9.0;0.3;52.2;0.7;47.8;0.3;1.4;0.1;0.00
AVEIRO/UNI;702;2004;1;2;13.1;72.0;6.0;0.0;42.5;1.0;43.4;0.1;1.9;0.0;0.00
ANADIA;705;2004;1;2;12.1;81.0;5.0;0.0;73.7;11.7;232.0;0.9;20.8;0.9;0.02
FIG.FOZ;713;2004;1;2;12.9;54.0;10.0;0.9;47.3;2.3;23.6;0.2;3.7;0.1;0.00
ANSIAO;716;2004;1;2;10.0;73.0;18.0;0.0;64.0;5.9;58.6;1.3;9.4;0.7;0.02
LEIRIA/Aer;718;2004;1;2;12.9;65.0;10.0;0.3;64.0;2.5;35.6;0.8;4.3;0.3;0.00
TOMAR;724;2004;1;2;13.7;46.0;7.0;0.0;79.8;9.1;192.2;1.6;16.2;1.9;0.08
ALCOBACA;726;2004;1;2;12.8;64.0;10.0;0.0;63.7;3.0;31.9;0.8;4.9;0.4;0.00
R.MAIOR;729;2004;1;2;12.7;69.0;17.0;0.9;70.6;4.9;31.8;1.5;7.1;0.8;0.02
SANTAREMFB;734;2004;1;2;13.2;71.0;8.0;0.0;80.3;5.1;31.5;1.8;7.3;0.9;0.02
D.PORTOS;739;2004;1;2;12.4;69.0;28.0;0.0;80.7;4.5;355.7;5.0;8.8;5.1;0.48
CORUCHE;744;2004;1;2;12.9;79.0;9.0;0.0;77.7;4.3;154.1;1.4;8.0;0.8;0.02
LAVRADIO;766;2004;1;2;14.1;64.0;14.0;0.1;82.2;4.5;63.4;3.0;7.6;2.5;0.14
SETUBAL;770;2004;1;2;13.9;60.0;12.0;0.0;83.3;6.1;34.4;3.1;8.5;2.8;0.17
ALCAC. SAL;776;2004;1;2;13.8;69.0;7.0;0.0;82.0;6.8;242.8;2.0;12.7;2.2;0.11
ALVALADE;783;2004;1;2;11.3;85.0;11.0;0.0;80.9;6.6;89.3;2.2;11.2;2.2;0.11
SABUGAL;800;2004;1;2;5.7;82.0;27.0;0.0;75.8;2.0;14.7;3.1;2.9;1.4;0.05
ZEBREIRA;803;2004;1;2;11.3;64.0;6.0;0.0;79.7;7.5;44.9;1.5;10.6;0.9;0.02
PROENCA;806;2004;1;2;13.1;56.0;13.0;0.0;79.3;3.6;19.3;2.0;4.9;0.9;0.02
ALVEGA;812;2004;1;2;8.7;100.0;1.0;0.0;73.2;4.8;90.9;0.7;8.5;0.4;0.01
AVIS;824;2004;1;2;12.4;63.0;12.0;0.0;81.0;3.8;183.9;2.3;7.3;1.6;0.07
ELVAS;835;2004;1;2;13.5;60.0;14.0;0.1;81.7;3.5;29.8;2.8;5.4;1.8;0.08
ESTREMOZ;837;2004;1;2;11.5;70.0;11.0;0.0;79.7;14.7;811.1;1.9;28.1;3.8;0.29
PORTEL;848;2004;1;2;13.3;75.0;9.0;0.0;79.9;5.8;244.9;1.8;11.0;1.5;0.05
AMARELEJA;850;2004;1;2;13.8;72.0;11.0;0.0;80.5;34.5;871.5;2.1;62.8;7.3;0.91
MERTOLA.VF;863;2004;1;2;11.9;90.0;10.0;0.3;76.6;3.7;72.0;1.4;6.5;0.7;0.01
N. CORVO;864;2004;1;2;12.1;82.0;12.0;0.1;79.7;7.4;457.5;2.0;14.2;2.4;0.13
ALCOUTIM;865;2004;1;2;11.4;84.0;13.0;0.0;79.2;9.9;179.5;2.0;17.5;2.8;0.17
C.MARIM;867;2004;1;2;14.4;75.0;20.0;0.0;83.5;9.5;126.9;4.7;16.0;6.7;0.78
PORTIMAO;878;2004;1;2;14.0;77.0;5.0;0.0;82.2;9.5;45.4;1.9;12.5;1.9;0.09
;;;;;;;;;;;;;;;
ESTACAO;NUM;ANO;MES;DIA;TEMP;HR;VENTO;PREC;FFMC;DMC;DC;ISI;BUI;FWI;DSR
SAGRES;533;2004;1;3;14.6;65.0;17.0;0.0;83.9;11.2;165.0;4.3;19.1;6.7;0.79
SINES/MC;541;2004;1;3;13.4;83.0;16.0;0.0;78.8;5.1;122.3;2.3;9.2;2.0;0.09
PORTO/PR;545;2004;1;3;13.4;66.0;16.0;0.0;70.6;1.6;6.4;1.4;2.0;0.4;0.01
COIMBRA/CE;548;2004;1;3;10.2;86.0;8.0;0.0;54.1;1.4;33.3;0.4;2.5;0.1;0.00
V.CASTELO;551;2004;1;3;14.9;61.0;13.0;0.0;69.8;1.7;6.9;1.2;2.1;0.4;0.00
FARO;554;2004;1;3;16.4;43.0;18.0;0.0;87.4;14.3;139.8;7.3;22.8;11.7;2.11
EVORA/CC;558;2004;1;3;13.5;65.0;18.0;0.0;83.1;7.3;228.8;4.1;13.6;5.2;0.51
VISEU/CC;560;2004;1;3;10.8;70.0;5.0;0.0;60.1;1.1;7.0;0.5;1.6;0.2;0.00
BEJA;562;2004;1;3;12.4;74.0;10.0;0.0;80.1;4.9;96.7;1.9;8.7;1.3;0.04
V.REAL;567;2004;1;3;11.0;72.0;10.0;0.0;68.0;0.9;7.9;1.0;1.4;0.3;0.00
P.DOURADAS;568;2004;1;3;8.4;62.0;7.0;0.0;55.2;1.1;3.2;0.4;1.2;0.1;0.00
C.BRANCO;570;2004;1;3;12.6;65.0;11.0;0.0;82.9;4.1;23.1;2.8;5.7;1.9;0.08
PORTALEGRE;571;2004;1;3;12.0;55.0;13.0;0.0;82.7;5.9;26.8;3.0;7.6;2.6;0.15
BRAGANCA;575;2004;1;3;10.8;71.0;4.0;0.0;78.4;1.8;9.2;1.2;2.4;0.4;0.01
LISBOA/GC;579;2004;1;3;14.2;73.0;13.0;0.0;81.6;6.6;32.9;2.6;8.8;2.4;0.13
