ESTACAO;NUM;ANO;MES;DIA;TEMP;HR;VENTO;PREC;FFMC;DMC;DC;ISI;BUI;FWI;DSR
AMARELEJA;850;2011;5;1;18.7;70.0;2.0;4.0;54.2;9.3;55.2;0.3;13.1;0.2;0.00
MERTOLA.VF;863;2011;5;1;16.3;94.0;6.0;1.0;41.9;6.4;57.0;0.1;10.0;0.0;0.00
N. CORVO;864;2011;5;1;15.1;96.0;13.0;3.0;30.8;9.1;106.9;0.0;15.0;0.0;0.00
ALCOUTIM;865;2011;5;1;13.7;100.0;5.0;10.0;3.0;2.2;17.7;0.0;3.4;0.0;0.00
C.MARIM;867;2011;5;1;18.0;76.0;5.0;7.5;35.6;6.9;115.0;0.0;12.1;0.0;0.00
PORTIMAO;878;2011;5;1;15.8;93.0;1.0;15.0;9.1;5.7;117.5;0.0;10.2;0.0;0.00
;;;;;;;;;;;;;;;
ESTACAO;NUM;ANO;MES;DIA;TEMP;HR;VENTO;PREC;FFMC;DMC;DC;ISI;BUI;FWI;DSR
SAGRES;533;2011;5;2;18.7;80.0;5.0;16.0;29.8;2.2;36.0;0.0;3.8;0.0;0.00
SINES/MC;541;2011;5;2;18.9;70.0;13.0;5.0;51.6;3.6;5.8;0.4;3.4;0.1;0.00
PORTO/PR;545;2011;5;2;18.2;71.0;16.0;0.0;77.4;29.4;129.3;2.0;37.5;4.9;0.46
COIMBRA/CE;548;2011;5;2;20.3;64.0;9.0;0.5;66.6;9.4;60.2;0.9;13.5;0.6;0.01
V.CASTELO;551;2011;5;2;17.1;73.0;16.0;0.9;63.0;21.5;104.7;1.1;28.4;1.8;0.08
FARO;554;2011;5;2;17.9;80.0;11.0;1.0;71.7;12.8;117.5;1.2;20.1;1.3;0.04
EVORA/CC;558;2011;5;2;22.0;52.0;12.0;1.0;77.5;14.0;36.6;1.7;14.3;1.8;0.07
VISEU/CC;560;2011;5;2;19.3;51.0;6.0;4.0;57.0;5.5;12.9;0.4;5.5;0.2;0.00
BEJA;562;2011;5;2;20.2;67.0;13.0;6.0;57.9;5.3;24.9;0.7;7.0;0.3;0.00
V.REAL;567;2011;5;2;19.2;51.0;8.0;0.3;71.7;13.3;102.3;1.0;20.1;0.9;0.02
P.DOURADAS;568;2011;5;2;11.8;61.0;17.0;0.1;38.9;1.3;8.2;0.1;1.9;0.0;0.00
C.BRANCO;570;2011;5;2;20.4;54.0;8.0;0.0;71.6;8.3;11.5;1.0;8.0;0.5;0.01
PORTALEGRE;571;2011;5;2;17.6;62.0;4.0;2.0;57.8;5.7;16.5;0.4;6.1;0.2;0.00
BRAGANCA;575;2011;5;2;17.0;65.0;6.0;9.0;36.7;4.4;5.5;0.0;4.1;0.0;0.00
LISBOA/GC;579;2011;5;2;20.5;62.0;12.0;0.1;75.0;9.3;24.8;1.4;9.6;0.8;0.02
MONCAO;605;2011;5;2;19.8;66.0;3.0;2.0;66.2;29.9;108.5;0.6;35.4;0.8;0.02
LAM.MOURO;606;2011;5;2;14.3;80.0;12.0;4.0;27.3;0.8;45.4;0.0;1.6;0.0;0.00
MONTALEGRE;611;2011;5;2;15.5;59.0;12.0;3.0;46.1;3.1;7.0;0.2;3.1;0.1;0.00
P.LIMA;615;2011;5;2;20.6;65.0;5.0;2.0;49.2;10.6;67.9;0.2;15.2;0.1;0.00
CHAVES;616;2011;5;2;17.0;71.0;2.0;7.0;25.2;3.5;5.5;0.0;3.3;0.0;0.00
CABRIL;619;2011;5;2;19.5;71.0;8.0;0.0;65.7;16.1;100.2;0.8;22.9;0.8;0.02
BRAGA;622;2011;5;2;21.7;53.0;4.0;4.0;48.6;9.5;48.4;0.2;12.7;0.1;0.00
C.BASTO;630;2011;5;2;20.1;66.0;7.0;10.0;42.3;5.6;6.0;0.1;5.2;0.0;0.00
MIRANDELA;632;2011;5;2;20.7;78.0;7.0;2.0;49.3;9.9;102.9;0.2;16.0;0.2;0.00
MCAVALEIRO;633;2011;5;2;19.1;61.0;8.0;4.0;54.0;7.9;37.9;0.4;10.4;0.2;0.00
M.DOURO;635;2011;5;2;18.8;62.0;10.0;0.5;59.9;11.1;67.0;0.7;15.7;0.5;0.01
MOGADOURO;637;2011;5;2;18.0;61.0;9.0;1.0;62.3;9.2;13.4;0.7;8.9;0.4;0.01
C.ANSIAES;644;2011;5;2;16.6;66.0;2.0;4.5;41.1;5.2;42.0;0.0;7.9;0.0;0.00
MONCORVO;654;2011;5;2;17.4;68.0;7.0;3.0;45.6;6.1;62.8;0.1;9.8;0.1;0.00
MOIM.BEIRA;663;2011;5;2;19.9;42.0;5.0;2.0;65.2;9.9;58.5;0.7;13.9;0.5;0.01
TRANCOSO;666;2011;5;2;16.7;55.0;7.0;0.0;68.6;10.8;37.6;0.9;12.6;0.6;0.01
AROUCA;669;2011;5;2;20.6;61.0;5.0;6.0;47.1;7.5;49.2;0.1;10.9;0.1;0.00
FC.RODRIGO;671;2011;5;2;18.1;60.0;4.0;0.7;71.6;15.1;125.5;0.8;23.2;0.8;0.02
GUARDA;683;2011;5;2;15.1;62.0;10.0;0.1;43.9;4.2;14.1;0.1;4.8;0.0;0.00
NELAS;685;2011;5;2;19.9;57.0;5.0;1.0;65.5;10.6;36.5;0.7;12.3;0.5;0.01
PAMP.SERRA;686;2011;5;2;17.0;61.0;13.0;0.0;53.1;3.4;10.1;0.4;3.7;0.2;0.00
COVILHA;687;2011;5;2;20.0;60.0;11.0;0.0;64.5;6.6;14.4;0.9;6.6;0.4;0.01
LOUSA;697;2011;5;2;21.0;62.0;9.0;2.0;61.3;6.8;30.1;0.7;8.7;0.4;0.01
AVEIRO/UNI;702;2011;5;2;19.3;73.0;17.0;4.6;62.6;18.7;93.5;1.1;24.9;1.6;0.06
ANADIA;705;2011;5;2;21.5;62.0;8.0;9.0;50.7;5.2;7.9;0.3;5.0;0.1;0.00
FIG.FOZ;713;2011;5;2;20.7;66.0;13.0;1.0;68.1;14.9;66.2;1.1;19.0;1.0;0.03
ANSIAO;716;2011;5;2;20.5;67.0;14.0;2.0;56.9;3.7;11.3;0.7;4.1;0.3;0.00
LEIRIA/Aer;718;2011;5;2;20.3;74.0;12.0;4.0;50.0;5.1;32.3;0.3;7.3;0.2;0.00
TOMAR;724;2011;5;2;21.9;61.0;9.0;0.0;71.1;7.8;34.4;1.0;9.9;0.6;0.01
ALCOBACA;726;2011;5;2;21.3;62.0;9.0;3.0;61.3;9.2;16.4;0.7;9.0;0.4;0.01
R.MAIOR;729;2011;5;2;21.0;64.0;13.0;1.1;72.3;10.9;152.2;1.3;18.5;1.5;0.05
SANTAREMFB;734;2011;5;2;23.4;51.0;7.0;0.0;87.2;108.2;219.8;4.1;107.9;17.3;4.24
D.PORTOS;739;2011;5;2;20.2;82.0;13.0;0.9;64.9;6.9;41.1;1.0;9.7;0.6;0.01
CORUCHE;744;2011;5;2;23.1;58.0;6.0;2.0;70.0;12.7;255.9;0.8;22.5;0.8;0.02
LAVRADIO;766;2011;5;2;22.2;56.0;8.0;1.0;79.3;14.1;35.7;1.6;14.2;1.6;0.06
SETUBAL;770;2011;5;2;20.8;76.0;2.0;6.0;33.4;3.2;16.0;0.0;4.3;0.0;0.00
ALCAC. SAL;776;2011;5;2;22.1;64.0;9.0;10.0;54.7;6.9;63.6;0.4;10.9;0.3;0.00
ALVALADE;783;2011;5;2;17.6;80.0;12.0;10.0;37.1;2.9;5.6;0.0;2.8;0.0;0.00
