ESTACAO;NUM;ANO;MES;DIA;TEMP;HR;VENTO;PREC;FFMC;DMC;DC;ISI;BUI;FWI;DSR
AMARELEJA;851;2016;9;17;30.6;24.0;9.0;0.0;93.8;596.4;1065.9;11.3;591.9;43.3;21.41
MERTOLA.VF;863;2016;9;17;31.4;23.0;8.0;0.0;94.1;106.5;991.1;11.6;167.8;41.5;19.88
N.CORVO;864;2016;9;17;31.2;30.0;15.0;0.0;92.6;111.9;1093.7;13.1;178.2;45.5;23.37
FARO;554;2016;9;17;29.4;33.0;22.0;0.0;91.7;98.5;919.5;16.3;155.4;50.6;28.24
C.MARIM;867;2016;9;17;30.0;27.0;19.0;0.0;93.3;540.9;1166.9;18.2;539.3;58.3;36.24
ALCOUTIM;865;2016;9;17;29.9;26.0;12.0;0.0;93.1;103.1;959.8;12.4;162.5;43.0;21.16
PORTIMAO;878;2016;9;17;30.3;33.0;10.0;0.0;92.1;465.9;1131.5;9.6;465.7;38.9;17.76
SAGRES;533;2016;9;17;26.5;47.0;13.0;0.0;88.6;106.0;940.4;6.8;165.4;29.2;10.65
;;;;;;;;;;;;;;;
ESTACAO;NUM;ANO;MES;DIA;TEMP;HR;VENTO;PREC;FFMC;DMC;DC;ISI;BUI;FWI;DSR
V.CASTELO;551;2016;9;18;21.9;48.0;4.0;0.0;87.1;59.4;637.0;3.5;96.4;14.5;3.09
MONCAO;605;2016;9;18;21.3;62.0;9.0;0.0;84.8;31.9;396.8;3.2;53.1;9.5;1.46
LAM.MOURO;606;2016;9;18;20.5;27.0;4.0;0.0;86.8;18.7;328.0;3.4;32.7;7.5;0.95
P.LIMA;615;2016;9;18;25.8;34.0;4.0;0.0;90.6;44.3;409.1;5.7;69.7;17.7;4.39
BRAGA;622;2016;9;18;26.1;37.0;4.0;0.0;90.1;45.8;542.6;5.4;75.6;17.6;4.34
CABRIL;619;2016;9;18;22.8;43.0;3.0;0.0;85.9;37.0;519.1;2.7;62.8;9.2;1.38
PORTO/PR;545;2016;9;18;23.9;44.0;14.0;0.0;88.5;34.6;511.6;7.0;59.2;18.7;4.86
V.REAL;567;2016;9;18;21.9;45.0;5.0;0.0;87.8;86.9;663.8;4.0;130.9;18.6;4.80
CHAVES;616;2016;9;18;22.8;41.0;5.0;0.0;89.0;95.8;812.1;4.7;148.0;21.9;6.41
MONTALEGRE;611;2016;9;18;18.7;50.0;4.0;0.0;86.1;56.9;602.3;3.1;92.0;12.8;2.47
C.BASTO;630;2016;9;18;24.8;43.0;8.0;0.0;88.0;44.3;558.3;4.8;74.0;15.9;3.64
