ESTACAO;NUM;ANO;MES;DIA;TEMP;HR;VENTO;PREC;FFMC;DMC;DC;ISI;BUI;FWI;DSR
V.CASTELO;551;2017;1;1;9.9;72.0;3.0;0.0;83.8;9.8;30.8;2.1;10.9;2.0;0.10
MONCAO;605;2017;1;1;5.3;82.0;3.0;0.0;81.1;5.0;104.6;1.5;9.0;0.8;0.02
LAM.MOURO;606;2017;1;1;7.8;67.0;3.0;0.3;86.3;12.9;29.0;2.9;12.8;3.6;0.26
P.LIMA;615;2017;1;1;6.3;77.0;3.0;0.1;83.9;10.8;30.7;2.1;11.5;2.2;0.11
BRAGA;622;2017;1;1;5.3;100.0;3.0;0.0;76.5;7.6;27.5;1.0;9.0;0.6;0.01
CABRIL;619;2017;1;1;7.5;79.0;5.0;0.0;83.9;9.6;29.4;2.3;10.6;2.3;0.12
PORTO/PR;545;2017;1;1;9.5;58.0;15.0;0.0;86.4;14.5;34.1;5.5;14.5;7.3;0.91
V.REAL;567;2017;1;1;-1.1;96.0;2.0;0.0;74.9;2.6;135.3;0.9;5.0;0.4;0.00
CHAVES;616;2017;1;1;-1.1;96.0;1.0;0.1;73.6;1.8;223.4;0.7;3.5;0.3;0.00
MONTALEGRE;611;2017;1;1;5.7;76.0;3.0;0.0;84.7;7.7;21.3;2.3;8.1;1.9;0.08
C.BASTO;630;2017;1;1;5.3;79.0;3.0;0.0;83.9;8.0;25.6;2.1;9.0;1.6;0.07
BRAGANCA;575;2017;1;1;-1.1;97.0;7.0;0.0;76.3;2.3;173.3;1.2;4.5;0.5;0.01
MIRANDELA;632;2017;1;1;-1.1;96.0;1.0;0.1;73.6;1.8;234.5;0.7;3.5;0.3;0.00
M.DOURO;635;2017;1;1;-1.1;98.0;0.0;0.1;77.4;2.7;434.0;0.9;5.3;0.4;0.01
MOGADOURO;637;2017;1;1;-1.1;94.0;9.0;0.0;77.0;2.1;321.1;1.3;4.1;0.5;0.01
MCAVALEIRO;633;2017;1;1;-1.1;96.0;0.0;0.0;77.0;3.0;221.8;0.9;5.8;0.4;0.01
C.ANSIAES;644;2017;1;1;-0.4;95.0;2.0;0.0;76.1;2.3;88.6;0.9;4.3;0.4;0.00
MONCORVO;654;2017;1;1;-0.4;95.0;2.0;0.0;74.4;2.1;166.2;0.8;4.1;0.3;0.00
AVEIRO/UNI;702;2017;1;1;11.8;54.0;9.0;0.0;86.5;13.9;36.2;4.0;14.2;5.3;0.53
ANADIA;705;2017;1;1;10.8;59.0;9.0;0.0;85.2;9.4;101.0;3.5;15.3;4.8;0.44
AROUCA;669;2017;1;1;2.2;87.0;6.0;0.2;81.1;9.2;28.7;1.7;10.2;1.2;0.04
VISEU/CC;560;2017;1;1;8.5;54.0;9.0;0.0;86.6;8.2;27.1;4.1;9.4;4.2;0.35
MOIM.BEIRA;663;2017;1;1;2.1;96.0;3.0;0.3;72.4;2.3;33.2;0.8;3.9;0.3;0.00
NELAS;685;2017;1;1;9.0;54.0;2.0;0.0;84.0;7.1;87.1;2.1;11.8;2.1;0.10
GUARDA;683;2017;1;1;3.2;77.0;11.0;0.0;83.3;4.2;14.6;2.9;4.9;1.8;0.07
P.DOURADAS;568;2017;1;1;4.9;59.0;5.0;0.0;86.4;8.6;20.5;3.3;8.6;3.1;0.20
FC.RODRIGO;671;2017;1;1;2.1;100.0;1.0;0.0;71.2;1.5;186.2;0.7;2.9;0.2;0.00
TRANCOSO;666;2017;1;1;2.1;96.0;3.0;0.3;72.4;2.3;45.2;0.8;4.1;0.3;0.00
SABUGAL;800;2017;1;1;5.4;75.0;14.0;0.0;82.2;3.0;13.2;2.9;3.8;1.5;0.06
COIMBRA/CE;548;2017;1;1;11.0;64.0;9.0;0.0;84.5;8.7;78.1;3.1;13.7;4.0;0.31
LOUSA;697;2017;1;1;4.5;89.0;1.0;0.0;81.0;10.4;158.1;1.4;17.8;1.5;0.06
PAMP.SERRA;686;2017;1;1;9.7;59.0;16.0;0.0;86.5;11.9;120.4;5.9;19.1;8.9;1.30
FIG.FOZ;713;2017;1;1;11.7;76.0;10.0;0.1;83.4;8.2;34.2;2.8;10.2;2.9;0.18
LEIRIA/AER;718;2017;1;1;9.9;65.0;10.0;0.0;85.2;12.0;34.6;3.6;12.8;4.5;0.39
ANSIAO;716;2017;1;1;8.2;66.0;18.0;0.0;85.0;9.7;56.8;5.2;13.6;6.6;0.77
ALCOBACA;726;2017;1;1;12.5;62.0;9.0;0.0;86.4;16.1;109.1;3.9;23.6;7.0;0.86
C.BRANCO;570;2017;1;1;1.5;100.0;8.0;0.1;76.8;8.5;27.8;1.3;9.6;0.8;0.02
COVILHA;687;2017;1;1;4.7;75.0;4.0;0.1;83.2;8.3;25.1;2.0;9.1;1.5;0.06
ZEBREIRA;803;2017;1;1;1.1;100.0;8.0;0.1;76.8;8.2;123.1;1.3;14.1;0.9;0.02
PROENCA;806;2017;1;1;6.6;100.0;11.0;0.0;76.1;8.9;30.6;1.4;10.3;0.9;0.02
LISBOA/GC;579;2017;1;1;7.4;82.0;15.0;0.0;81.3;7.6;40.0;2.8;10.3;2.9;0.18
D.PORTOS;739;2017;1;1;7.9;83.0;12.0;0.0;81.5;8.6;137.5;2.4;14.9;3.1;0.20
SANTAREMFB;734;2017;1;1;7.4;77.0;7.0;0.0;82.7;9.2;204.4;2.2;16.6;3.1;0.20
R.MAIOR;729;2017;1;1;8.2;77.0;5.0;0.0;83.1;10.8;231.1;2.1;19.3;3.1;0.21
CORUCHE;744;2017;1;1;8.1;77.0;11.0;0.0;82.4;8.5;191.4;2.6;15.2;3.5;0.25
TOMAR;724;2017;1;1;4.8;95.0;3.0;0.0;78.5;7.2;123.0;1.1;12.6;0.8;0.02
ALVEGA;812;2017;1;1;5.6;95.0;12.0;0.0;78.0;6.8;194.1;1.7;12.6;1.6;0.06
PORTALEGRE;571;2017;1;1;7.2;84.0;3.0;0.0;82.5;10.3;30.6;1.8;11.2;1.5;0.06
ELVAS;835;2017;1;1;7.4;78.0;3.0;0.0;82.2;7.9;174.0;1.7;14.2;1.8;0.08
AVIS;824;2017;1;1;5.2;82.0;5.0;0.0;81.8;11.0;342.0;1.8;20.4;2.8;0.16
EVORA/CC;558;2017;1;1;9.8;79.0;7.0;0.0;82.4;8.7;302.6;2.1;16.2;2.8;0.17
ESTREMOZ;837;2017;1;1;8.9;83.0;4.0;0.1;81.9;8.7;163.7;1.7;15.4;2.0;0.10
PORTEL;848;2017;1;1;14.0;64.0;3.0;0.0;84.5;11.1;263.0;2.2;20.0;3.6;0.26
SETUBAL;770;2017;1;1;11.5;74.0;4.0;0.0;83.6;10.8;137.4;2.1;18.1;3.1;0.20
ALCAC.SAL;776;2017;1;1;14.4;72.0;14.0;0.0;82.7;7.7;108.5;3.1;13.1;3.9;0.30
ALVALADE;783;2017;1;1;13.5;72.0;8.0;0.0;84.1;9.8;220.6;2.8;17.6;4.1;0.33
SINES/MC;541;2017;1;1;13.6;72.0;16.0;0.0;84.1;11.2;205.2;4.1;19.7;6.6;0.78
BARREIRO;766;2017;1;1;9.0;89.0;10.0;0.0;78.9;4.2;96.3;1.7;7.6;0.9;0.02
BEJA;562;2017;1;1;7.5;96.0;10.0;0.0;77.4;7.4;156.0;1.5;13.3;1.3;0.05
AMARELEJA;851;2017;1;1;11.8;70.0;5.0;0.0;83.3;8.8;347.1;2.2;16.5;3.0;0.19
MERTOLA.VF;863;2017;1;1;11.5;73.0;8.0;0.1;83.6;8.8;289.9;2.6;16.4;3.6;0.26
N.CORVO;864;2017;1;1;12.9;78.0;8.0;0.0;82.1;6.8;303.4;2.1;12.8;2.4;0.12
FARO;554;2017;1;1;14.3;70.0;25.0;0.0;84.7;14.8;152.2;6.9;23.8;11.5;2.05
C.MARIM;867;2017;1;1;14.6;59.0;10.0;0.0;85.7;13.9;219.9;3.8;24.0;6.9;0.83
ALCOUTIM;865;2017;1;1;12.6;67.0;2.0;0.1;83.5;9.8;176.3;1.9;17.1;2.6;0.14
PORTIMAO;878;2017;1;1;15.7;72.0;12.0;0.1;84.5;14.7;120.7;3.6;22.5;6.3;0.70
SAGRES;533;2017;1;1;15.2;79.0;21.0;0.0;82.6;12.2;43.2;4.4;14.3;5.9;0.62
;;;;;;;;;;;;;;;
ESTACAO;NUM;ANO;MES;DIA;TEMP;HR;VENTO;PREC;FFMC;DMC;DC;ISI;BUI;FWI;DSR
V.CASTELO;551;2017;1;2;12.2;59.0;9.0;4.7;58.1;6.3;27.1;0.6;8.0;0.3;0.00
MONCAO;605;2017;1;2;12.1;65.0;23.0;0.6;82.0;5.6;106.5;4.6;9.8;4.9;0.45
LAM.MOURO;606;2017;1;2;7.1;63.0;12.0;6.8;49.9;7.3;20.8;0.3;7.8;0.2;0.00
P.LIMA;615;2017;1;2;13.4;45.0;9.0;7.9;57.2;6.4;21.7;0.5;7.4;0.3;0.00
BRAGA;622;2017;1;2;12.2;53.0;9.0;6.9;53.6;4.5;20.1;0.4;5.8;0.2;0.00
CABRIL;619;2017;1;2;8.2;78.0;5.0;4.7;46.7;5.8;25.0;0.1;7.3;0.1;0.00
PORTO/PR;545;2017;1;2;12.6;55.0;26.0;6.7;62.4;8.7;27.0;1.8;9.6;1.2;0.04
V.REAL;567;2017;1;2;6.7;81.0;5.0;0.5;76.5;2.8;136.2;1.1;5.3;0.5;0.01
CHAVES;616;2017;1;2;9.0;70.0;14.0;0.7;76.3;2.2;224.7;1.7;4.2;0.7;0.01
MONTALEGRE;611;2017;1;2;3.2;95.0;12.0;5.7;33.1;4.0;14.5;0.0;4.7;0.0;0.00
C.BASTO;630;2017;1;2;10.6;78.0;4.0;2.3;61.7;6.3;27.2;0.6;8.0;0.3;0.00
BRAGANCA;575;2017;1;2;4.5;81.0;10.0;0.2;77.4;2.4;173.8;1.5;4.7;0.6;0.01
MIRANDELA;632;2017;1;2;9.0;70.0;14.0;0.7;76.3;2.2;235.8;1.7;4.2;0.7;0.01
M.DOURO;635;2017;1;2;3.9;79.0;15.0;0.0;78.4;2.8;434.4;2.0;5.6;0.9;0.02
MOGADOURO;637;2017;1;2;5.0;75.0;19.0;0.0;78.8;2.3;321.7;2.7;4.5;1.4;0.05
MCAVALEIRO;633;2017;1;2;6.2;74.0;8.0;0.2;78.8;3.2;222.6;1.5;6.2;0.7;0.02
C.ANSIAES;644;2017;1;2;6.6;76.0;9.0;0.2;78.1;2.5;89.5;1.5;4.7;0.6;0.01
MONCORVO;654;2017;1;2;6.6;76.0;9.0;0.2;77.1;2.3;167.1;1.4;4.5;0.6;0.01
AVEIRO/UNI;702;2017;1;2;13.6;54.0;15.0;0.2;86.5;14.7;38.4;5.6;15.0;7.5;0.96
ANADIA;705;2017;1;2;11.3;73.0;22.0;0.0;83.9;9.8;102.7;5.5;15.8;7.6;0.99
AROUCA;669;2017;1;2;8.7;68.0;13.0;1.5;72.2;9.6;30.0;1.3;10.7;0.8;0.02
VISEU/CC;560;2017;1;2;8.2;72.0;25.0;0.0;84.1;8.5;28.3;6.4;9.7;6.8;0.81
MOIM.BEIRA;663;2017;1;2;6.4;78.0;14.0;0.0;75.9;2.5;34.1;1.6;4.2;0.7;0.01
NELAS;685;2017;1;2;10.9;61.0;11.0;0.0;84.1;7.7;88.8;3.2;12.6;3.9;0.30
GUARDA;683;2017;1;2;2.2;93.0;17.0;0.0;78.6;4.2;14.7;2.3;4.9;1.0;0.03
P.DOURADAS;568;2017;1;2;0.1;100.0;17.0;0.6;75.9;8.6;20.2;1.9;8.6;1.3;0.04
FC.RODRIGO;671;2017;1;2;8.1;75.0;7.0;0.0;75.4;1.8;187.4;1.1;3.5;0.4;0.01
TRANCOSO;666;2017;1;2;6.4;78.0;14.0;0.0;75.9;2.5;46.1;1.6;4.4;0.7;0.01
SABUGAL;800;2017;1;2;6.5;73.0;25.0;0.0;82.2;3.3;14.1;5.2;4.1;3.6;0.27
COIMBRA/CE;548;2017;1;2;11.5;67.0;16.0;0.0;84.5;9.2;79.9;4.3;14.3;5.7;0.60
LOUSA;697;2017;1;2;11.5;67.0;16.0;0.1;82.3;10.9;159.9;3.2;18.6;5.0;0.48
PAMP.SERRA;686;2017;1;2;4.2;88.0;62.0;0.0;80.2;12.0;120.9;26.0;19.2;27.6;9.67
FIG.FOZ;713;2017;1;2;12.9;66.0;20.0;0.0;83.5;8.8;36.2;4.8;10.9;5.4;0.54
LEIRIA/AER;718;2017;1;2;12.1;66.0;27.0;0.0;85.0;12.6;36.5;8.2;13.5;9.9;1.57
ANSIAO;716;2017;1;2;8.6;77.0;19.0;0.0;83.0;10.0;58.1;4.2;14.0;5.5;0.56
ALCOBACA;726;2017;1;2;11.9;65.0;23.0;0.0;85.4;16.7;110.9;7.2;24.2;12.0;2.21
C.BRANCO;570;2017;1;2;6.8;81.0;18.0;0.0;78.1;8.7;28.7;2.3;9.9;2.2;0.11
COVILHA;687;2017;1;2;7.5;67.0;7.0;0.0;83.2;8.6;26.2;2.3;9.5;2.1;0.10
ZEBREIRA;803;2017;1;2;7.8;81.0;22.0;0.0;78.2;8.4;124.2;3.0;14.4;3.9;0.30
PROENCA;806;2017;1;2;9.9;81.0;16.0;0.0;78.0;9.2;32.1;2.1;10.7;2.0;0.10
LISBOA/GC;579;2017;1;2;12.4;82.0;16.0;0.0;81.3;7.9;41.9;3.0;10.7;3.2;0.22
D.PORTOS;739;2017;1;2;12.7;82.0;34.0;0.0;81.5;8.9;139.5;7.3;15.4;9.6;1.48
SANTAREMFB;734;2017;1;2;12.5;75.0;13.0;0.0;82.7;9.6;206.4;3.0;17.2;4.4;0.37
R.MAIOR;729;2017;1;2;12.3;76.0;5.0;0.0;83.1;11.2;233.0;2.1;20.0;3.3;0.22
CORUCHE;744;2017;1;2;14.1;70.0;21.0;0.0;82.8;9.1;193.6;4.4;16.2;6.3;0.71
TOMAR;724;2017;1;2;11.4;73.0;30.0;0.0;80.8;7.6;124.8;5.5;13.2;6.8;0.82
ALVEGA;812;2017;1;2;9.9;73.0;16.0;0.0;80.1;7.2;195.6;2.6;13.1;3.1;0.21
PORTALEGRE;571;2017;1;2;8.1;76.0;30.0;0.0;82.4;10.6;31.8;6.6;11.5;7.6;0.99
ELVAS;835;2017;1;2;10.1;76.0;10.0;0.0;82.2;8.2;175.5;2.4;14.7;3.1;0.20
AVIS;824;2017;1;2;10.8;67.0;17.0;0.0;82.6;11.5;343.6;3.6;21.2;6.0;0.66
EVORA/CC;558;2017;1;2;12.5;77.0;22.0;0.0;82.4;9.1;304.6;4.6;16.9;6.7;0.79
ESTREMOZ;837;2017;1;2;10.5;76.0;14.0;0.0;81.9;9.0;165.3;2.9;15.9;4.1;0.33
PORTEL;848;2017;1;2;13.2;76.0;23.0;0.0;83.5;11.5;265.1;5.5;20.8;8.8;1.26
SETUBAL;770;2017;1;2;14.5;76.0;12.0;0.0;83.4;11.3;139.7;3.1;18.7;4.9;0.45
ALCAC.SAL;776;2017;1;2;15.6;78.0;26.0;0.0;82.7;8.2;111.0;5.8;13.8;7.4;0.93
ALVALADE;783;2017;1;2;16.6;67.0;29.0;0.0;84.1;10.5;223.3;8.0;18.8;11.4;2.03
SINES/MC;541;2017;1;2;16.2;67.0;36.0;0.0;84.1;11.9;207.8;11.7;20.8;16.2;3.77
BARREIRO;766;2017;1;2;14.3;83.0;25.0;0.0;79.6;4.5;98.6;3.9;8.1;3.7;0.27
BEJA;562;2017;1;2;13.6;74.0;31.0;0.0;80.6;7.9;158.2;5.9;14.0;7.5;0.97
AMARELEJA;851;2017;1;2;15.1;55.0;19.0;0.0;85.1;9.7;349.5;5.5;18.1;8.1;1.11
MERTOLA.VF;863;2017;1;2;12.2;75.0;24.0;0.0;83.3;9.2;291.8;5.6;17.1;8.0;1.08
N.CORVO;864;2017;1;2;14.5;86.0;22.0;0.0;81.0;7.1;305.7;3.8;13.4;4.9;0.45
FARO;554;2017;1;2;18.0;71.0;36.0;0.0;84.7;15.5;155.1;12.2;24.8;18.2;4.61
C.MARIM;867;2017;1;2;16.2;71.0;32.0;0.0;84.8;14.5;222.5;10.2;25.0;15.9;3.63
ALCOUTIM;865;2017;1;2;12.4;90.0;22.0;0.0;79.9;10.0;178.2;3.4;17.5;5.1;0.48
PORTIMAO;878;2017;1;2;17.2;73.0;15.0;0.0;84.4;15.3;123.5;4.2;23.4;7.4;0.94
SAGRES;533;2017;1;2;17.0;76.0;28.0;0.0;82.6;12.7;46.0;6.5;15.0;8.5;1.21
;;;;;;;;;;;;;;;
