date;minimum;maximum;mean;std;dico;concelho;distrito
02/01/2015 00:00;-1.70817506313;-0.464028000832;-0.823680337932;0.33695895095399997;201;Aljustrel;Beja
03/01/2015 00:00;-1.1459963321700002;0.125266194344;-0.22074165433200002;0.349207358783;201;Aljustrel;Beja
04/01/2015 00:00;-0.803681790829;0.612712800503;0.192850981322;0.383082805904;201;Aljustrel;Beja
06/01/2015 00:00;0.426612257957;1.23971319199;0.8651821215950001;0.234928896908;201;Aljustrel;Beja
07/01/2015 00:00;-0.918631017208;-0.319227904081;-0.516770838035;0.159944327154;201;Aljustrel;Beja
11/01/2015 00:00;2.1740176677700003;2.99873971939;2.74136837324;0.218843683864;201;Aljustrel;Beja
12/01/2015 00:00;1.40416014194;2.54777479172;2.24892505672;0.319597073354;201;Aljustrel;Beja
13/01/2015 00:00;2.3126986026800003;3.27174162865;3.0301186508599995;0.26729779962699995;201;Aljustrel;Beja
17/01/2015 00:00;0.685829102993;1.2732940912200001;1.0389269888400001;0.153215552159;201;Aljustrel;Beja
18/01/2015 00:00;8.02899074554;8.58731079102;8.31052282121;0.163297626248;201;Aljustrel;Beja
19/01/2015 00:00;3.7155396938300003;4.01760053635;3.9236049122300005;0.07709958613210001;201;Aljustrel;Beja
23/01/2015 00:00;7.74683666229;8.3833990097;8.0500635306;0.18344061079399998;201;Aljustrel;Beja
24/01/2015 00:00;1.6009852886200002;2.01139092445;1.9136289291900004;0.10467915376;201;Aljustrel;Beja
25/01/2015 00:00;-0.27860519289999996;0.786041080952;0.44668280416100004;0.272653661437;201;Aljustrel;Beja
26/01/2015 00:00;0.960436940193;2.3006610870400004;1.88458555937;0.363180638013;201;Aljustrel;Beja
30/01/2015 00:00;12.103547096300002;12.744121551500001;12.367543485399999;0.176531112831;201;Aljustrel;Beja
31/01/2015 00:00;5.56137990952;5.944498062130001;5.764074881869999;0.103755319769;201;Aljustrel;Beja
01/02/2015 00:00;2.23979878426;2.73714733124;2.4997333023299997;0.122036563509;201;Aljustrel;Beja
05/02/2015 00:00;0.60266405344;0.7911283373829999;0.652174284061;0.0505784695424;201;Aljustrel;Beja
06/02/2015 00:00;-0.743954837322;-0.00137255957816;-0.332092719702;0.185344875312;201;Aljustrel;Beja
07/02/2015 00:00;-0.39365413785;0.0548030994833;-0.153340227436;0.108811841787;201;Aljustrel;Beja
11/02/2015 00:00;4.44149446487;4.9183182716400005;4.6875957383;0.122103705922;201;Aljustrel;Beja
12/02/2015 00:00;2.6871640682200004;3.3315963745099997;2.9436751339200002;0.183150380406;201;Aljustrel;Beja
13/02/2015 00:00;3.19354557991;3.89144825935;3.54705019792;0.165765381626;201;Aljustrel;Beja
17/02/2015 00:00;6.2113404274;6.591837882999999;6.378321356240001;0.11366491934299999;201;Aljustrel;Beja
18/02/2015 00:00;2.9949140548699997;4.0857872963;3.74257009559;0.31463302004099997;201;Aljustrel;Beja
19/02/2015 00:00;3.7515778541600002;4.47526550293;4.17524784141;0.167878960218;201;Aljustrel;Beja
20/02/2015 00:00;2.25361394882;2.76088762283;2.65334620741;0.13468810089400002;201;Aljustrel;Beja
24/02/2015 00:00;3.6322731971699995;4.34701442719;4.03758402665;0.18130562803199998;201;Aljustrel;Beja
25/02/2015 00:00;2.9914178848299997;3.92726588249;3.62345549795;0.258867697088;201;Aljustrel;Beja
26/02/2015 00:00;5.2649974823;5.9274835586500005;5.7207703060599995;0.17697746154;201;Aljustrel;Beja
02/03/2015 00:00;9.54566192627;10.0298366547;9.75382375717;0.146354234423;201;Aljustrel;Beja
03/03/2015 00:00;8.39874076843;8.86629295349;8.68679120806;0.120902099858;201;Aljustrel;Beja
04/03/2015 00:00;7.1827888488800005;7.94252586365;7.61347794533;0.206327806989;201;Aljustrel;Beja
08/03/2015 00:00;2.28834581375;3.73216485977;3.3051873842900004;0.41014092887599995;201;Aljustrel;Beja
09/03/2015 00:00;3.08465719223;4.62317228317;4.103131545909999;0.421353450224;201;Aljustrel;Beja
10/03/2015 00:00;3.5602948665599996;4.6750035285900005;4.27909766303;0.29593819685600004;201;Aljustrel;Beja
14/03/2015 00:00;3.417750597;4.5673418045;4.19446084234;0.318122495294;201;Aljustrel;Beja
15/03/2015 00:00;1.21977365017;2.3709590435;2.04493603441;0.328729342139;201;Aljustrel;Beja
16/03/2015 00:00;0.608007013798;1.8170284032799997;1.33172311385;0.31378841886799996;201;Aljustrel;Beja
17/03/2015 00:00;5.7009911537199995;6.054228305820001;5.91193384594;0.0885203097778;201;Aljustrel;Beja
21/03/2015 00:00;6.68839263916;7.68687200546;7.317007038330001;0.277080139223;201;Aljustrel;Beja
22/03/2015 00:00;7.9577703475999995;8.059185028080002;8.0331252416;0.024674812604400003;201;Aljustrel;Beja
23/03/2015 00:00;5.430502891540001;5.892039775850001;5.64444536633;0.10541560296399999;201;Aljustrel;Beja
26/03/2015 00:00;6.48955869675;6.687945365909999;6.600244787;0.0539675612572;201;Aljustrel;Beja
27/03/2015 00:00;9.92180633545;10.1761255264;10.0387864643;0.0750990448167;201;Aljustrel;Beja
28/03/2015 00:00;6.674555301669999;7.7214140892;7.33860879474;0.281638150947;201;Aljustrel;Beja
29/03/2015 00:00;6.09875917435;7.12942886353;6.6937854554900005;0.26891955579;201;Aljustrel;Beja
30/03/2015 00:00;7.433980941769999;7.77186059952;7.668259249789999;0.08431523160610002;201;Aljustrel;Beja
31/03/2015 00:00;6.993468761439999;7.820465087889999;7.489407036039999;0.220413765953;201;Aljustrel;Beja
01/04/2015 00:00;6.939983367919999;8.415110588069998;7.95444655418;0.41429033522;201;Aljustrel;Beja
02/04/2015 00:00;9.23330116272;10.8204193115;10.2699446148;0.431816963602;201;Aljustrel;Beja
03/04/2015 00:00;10.070692062400001;10.841362953199999;10.5847571691;0.22018133958;201;Aljustrel;Beja
04/04/2015 00:00;8.21256446838;9.025061607360001;8.69363864263;0.210285221121;201;Aljustrel;Beja
05/04/2015 00:00;12.149594306900001;12.516021728499998;12.310287369600001;0.09055926450400001;201;Aljustrel;Beja
06/04/2015 00:00;11.7410106659;12.121556282;11.8922261132;0.09045144507200001;201;Aljustrel;Beja
07/04/2015 00:00;11.4518241882;11.784119605999999;11.6219761637;0.0832885390682;201;Aljustrel;Beja
08/04/2015 00:00;11.2521820068;11.702946662899999;11.4333869086;0.133096782273;201;Aljustrel;Beja
09/04/2015 00:00;10.2815666199;10.5925006866;10.4095828798;0.0812297834091;201;Aljustrel;Beja
10/04/2015 00:00;10.2072563171;10.7899246216;10.5007751783;0.187185575226;201;Aljustrel;Beja
11/04/2015 00:00;9.15628051758;9.30092430115;9.21624973085;0.0336685885659;201;Aljustrel;Beja
12/04/2015 00:00;8.67677497864;8.99589633942;8.88148615095;0.09553947070550001;201;Aljustrel;Beja
13/04/2015 00:00;8.949698448180001;9.51383495331;9.256846957739999;0.138913368026;201;Aljustrel;Beja
14/04/2015 00:00;11.5368480682;11.8439245224;11.715613789;0.0791630499532;201;Aljustrel;Beja
15/04/2015 00:00;10.1839065552;10.2996730804;10.238681422300001;0.029062436252799997;201;Aljustrel;Beja
16/04/2015 00:00;8.23974514008;9.20056724548;8.744568136;0.25182627627099996;201;Aljustrel;Beja
17/04/2015 00:00;8.52840709686;9.007717132569999;8.77770466275;0.138166984535;201;Aljustrel;Beja
18/04/2015 00:00;6.44978618622;6.910201549530001;6.718798928790001;0.118085587001;201;Aljustrel;Beja
19/04/2015 00:00;6.21917486191;6.78759670258;6.55975535181;0.151888574146;201;Aljustrel;Beja
20/04/2015 00:00;5.3208732605;6.36438560486;5.93123462465;0.279411645168;201;Aljustrel;Beja
21/04/2015 00:00;7.7958798408500005;8.216563224789999;8.029268529680001;0.113369225995;201;Aljustrel;Beja
22/04/2015 00:00;9.33660507202;10.0163145065;9.751412868500001;0.20848948774700002;201;Aljustrel;Beja
23/04/2015 00:00;7.1763920784;7.81206846237;7.60031000773;0.178817540053;201;Aljustrel;Beja
24/04/2015 00:00;9.944490432739999;10.2768516541;10.1025310093;0.0930090234684;201;Aljustrel;Beja
25/04/2015 00:00;13.9750080109;14.3513593674;14.1307163768;0.09943463362800001;201;Aljustrel;Beja
26/04/2015 00:00;11.9280929565;12.508664131199998;12.1816779772;0.167194260182;201;Aljustrel;Beja
27/04/2015 00:00;11.4473114014;11.591609954800001;11.496496571400002;0.042948797411900004;201;Aljustrel;Beja
28/04/2015 00:00;8.11831665039;8.67831897736;8.43306975895;0.153576187271;201;Aljustrel;Beja
29/04/2015 00:00;7.31192827225;7.71353578568;7.59629750252;0.11341956658600001;201;Aljustrel;Beja
30/04/2015 00:00;9.82669639587;10.8666706085;10.3685860634;0.285124185696;201;Aljustrel;Beja
01/05/2015 00:00;9.732621192929999;10.1994380951;10.0249469015;0.126953032262;201;Aljustrel;Beja
02/05/2015 00:00;11.888570785499999;12.1863908768;12.0106736819;0.079699953582;201;Aljustrel;Beja
03/05/2015 00:00;12.9904870987;13.524339675899999;13.271045102;0.146657359952;201;Aljustrel;Beja
04/05/2015 00:00;13.049413680999999;13.486095428499999;13.209530936300002;0.110555540789;201;Aljustrel;Beja
05/05/2015 00:00;8.935132026669999;9.800312995910001;9.43782054053;0.257866786948;201;Aljustrel;Beja
06/05/2015 00:00;5.22268676758;6.36892223358;5.99272984929;0.330929525615;201;Aljustrel;Beja
07/05/2015 00:00;7.087328910830001;7.89236927032;7.641915135910001;0.21899089518800002;201;Aljustrel;Beja
08/05/2015 00:00;11.6336832047;12.729825973499999;12.306150860299999;0.314946004384;201;Aljustrel;Beja
09/05/2015 00:00;8.67077159882;10.2287425995;9.63100586997;0.429959614234;201;Aljustrel;Beja
10/05/2015 00:00;11.5494441986;13.187456131;12.5652784242;0.462786622147;201;Aljustrel;Beja
11/05/2015 00:00;11.3318500519;12.4643001556;12.0598509577;0.33845590519900004;201;Aljustrel;Beja
12/05/2015 00:00;11.928377151500001;12.2106151581;12.0924386978;0.07048849863710001;201;Aljustrel;Beja
13/05/2015 00:00;13.9409818649;14.5104446411;14.2219356961;0.146852726919;201;Aljustrel;Beja
14/05/2015 00:00;11.665779113800001;12.2936077118;12.015214972999999;0.17724201651000002;201;Aljustrel;Beja
15/05/2015 00:00;10.802408218399998;11.3978042603;11.028026951700001;0.170611249799;201;Aljustrel;Beja
16/05/2015 00:00;11.116458892799999;12.3026437759;11.8117266231;0.308397684313;201;Aljustrel;Beja
17/05/2015 00:00;11.073212623599998;12.353372573900002;11.9144589636;0.34810207030999996;201;Aljustrel;Beja
18/05/2015 00:00;12.4942951202;13.234910011300002;12.9289142291;0.199697107357;201;Aljustrel;Beja
19/05/2015 00:00;12.2411642075;12.4612865448;12.313357141300001;0.0525023599943;201;Aljustrel;Beja
20/05/2015 00:00;9.863716125489999;10.4313592911;10.0819336043;0.156708751906;201;Aljustrel;Beja
21/05/2015 00:00;8.24293708801;9.57220840454;9.0861419042;0.36941084426200005;201;Aljustrel;Beja
22/05/2015 00:00;9.92152690887;11.0331954956;10.678875075399999;0.321285017942;201;Aljustrel;Beja
23/05/2015 00:00;9.48755455017;11.043277740499999;10.5416274071;0.446391184191;201;Aljustrel;Beja
24/05/2015 00:00;9.87387943268;10.9577178955;10.5639706718;0.318850549844;201;Aljustrel;Beja
25/05/2015 00:00;11.8180608749;12.444007873499999;12.1153102451;0.168788870559;201;Aljustrel;Beja
26/05/2015 00:00;11.6843414307;11.9382772446;11.7995853954;0.06423059757680001;201;Aljustrel;Beja
27/05/2015 00:00;12.560804367100001;13.6808767319;13.2649506993;0.325254892206;201;Aljustrel;Beja
28/05/2015 00:00;12.438958168;13.777547836300002;13.1694040828;0.365896316039;201;Aljustrel;Beja
29/05/2015 00:00;13.875642776500001;14.8466691971;14.3698577351;0.274168849369;201;Aljustrel;Beja
30/05/2015 00:00;10.8189983368;11.5477542877;11.256702635;0.190527592478;201;Aljustrel;Beja
31/05/2015 00:00;11.0087366104;11.800629615799998;11.5190878974;0.225283208015;201;Aljustrel;Beja
01/06/2015 00:00;14.0686559677;14.4167747498;14.164479096700001;0.0940035007288;201;Aljustrel;Beja
02/06/2015 00:00;11.4408016205;11.896304130599999;11.6966896057;0.130518135011;201;Aljustrel;Beja
03/06/2015 00:00;12.8732643127;14.0856533051;13.5058411492;0.32322743101;201;Aljustrel;Beja
04/06/2015 00:00;13.1399450302;14.3917245865;13.8309153981;0.349126553068;201;Aljustrel;Beja
05/06/2015 00:00;12.885607719400001;14.122064590499999;13.522143152;0.337070880526;201;Aljustrel;Beja
06/06/2015 00:00;13.9815683365;14.992730140699999;14.5644380781;0.282645773738;201;Aljustrel;Beja
07/06/2015 00:00;18.5695438385;19.3059539795;18.8458133274;0.20643777841699998;201;Aljustrel;Beja
08/06/2015 00:00;15.885269165;16.9150619507;16.5194123586;0.295937300129;201;Aljustrel;Beja
09/06/2015 00:00;17.3075695038;18.178855895999998;17.746755388;0.26031852290699997;201;Aljustrel;Beja
10/06/2015 00:00;15.2223052979;15.622049331700001;15.3689471881;0.106720189295;201;Aljustrel;Beja
11/06/2015 00:00;13.6079034805;14.1700925827;13.8475371467;0.153422061643;201;Aljustrel;Beja
12/06/2015 00:00;10.2009563446;10.884180069000001;10.5283542739;0.184149304092;201;Aljustrel;Beja
13/06/2015 00:00;11.374560356099998;11.540949821500002;11.458744367000001;0.0475790590541;201;Aljustrel;Beja
14/06/2015 00:00;12.5256004333;12.929682731600002;12.6737341881;0.115490999226;201;Aljustrel;Beja
15/06/2015 00:00;10.7602090836;11.0755157471;10.9638377296;0.0833314611634;201;Aljustrel;Beja
16/06/2015 00:00;11.480080604600001;11.9728136063;11.7838080724;0.13065606415300002;201;Aljustrel;Beja
17/06/2015 00:00;13.1718730927;14.340476036099998;13.945962482;0.342526110093;201;Aljustrel;Beja
18/06/2015 00:00;14.5151195526;15.812252044700001;15.270906289400001;0.352691297479;201;Aljustrel;Beja
19/06/2015 00:00;14.059165954600001;14.9650382996;14.600070688499999;0.24529156751400003;201;Aljustrel;Beja
20/06/2015 00:00;15.6950159073;16.969329834;16.4221306377;0.35414855982199994;201;Aljustrel;Beja
21/06/2015 00:00;16.8440341949;16.9088840485;16.884977446700002;0.0181023172336;201;Aljustrel;Beja
22/06/2015 00:00;15.0990600586;15.2603549957;15.2225987646;0.0420219710864;201;Aljustrel;Beja
23/06/2015 00:00;13.7924871445;14.046783447300001;13.9550454352;0.0644078707858;201;Aljustrel;Beja
24/06/2015 00:00;11.310664176900001;11.994172096300002;11.6725096173;0.177435835792;201;Aljustrel;Beja
25/06/2015 00:00;11.3896970749;12.2796611786;11.9018938277;0.25210682128600004;201;Aljustrel;Beja
26/06/2015 00:00;13.9898605347;15.167056083699999;14.7201588949;0.35613180372000003;201;Aljustrel;Beja
27/06/2015 00:00;15.2664346695;17.0074691772;16.3113475376;0.5063857074970001;201;Aljustrel;Beja
28/06/2015 00:00;17.1158027649;18.4405117035;17.9268639882;0.40087926443300004;201;Aljustrel;Beja
29/06/2015 00:00;15.711483001700001;17.1810188293;16.575467851400003;0.429612094156;201;Aljustrel;Beja
30/06/2015 00:00;15.878712654100001;16.4762077332;16.1798293326;0.157212654495;201;Aljustrel;Beja
01/07/2015 00:00;14.891788482699999;15.7043447495;15.2828299205;0.232696927848;201;Aljustrel;Beja
02/07/2015 00:00;12.512176513699998;13.362606048599998;12.9467579524;0.228918714049;201;Aljustrel;Beja
03/07/2015 00:00;11.5545749664;12.896391868599999;12.2812335226;0.364934378013;201;Aljustrel;Beja
04/07/2015 00:00;12.2155952454;13.3308801651;12.8249425888;0.29392865884;201;Aljustrel;Beja
05/07/2015 00:00;16.4127845764;16.8960151672;16.6299485101;0.136462727015;201;Aljustrel;Beja
06/07/2015 00:00;13.7281217575;15.338068962100001;14.6134088834;0.431007647552;201;Aljustrel;Beja
07/07/2015 00:00;13.1932983398;15.303686142;14.3383207321;0.564668724225;201;Aljustrel;Beja
08/07/2015 00:00;15.8012418747;16.1674213409;15.957072364000002;0.10334600991800001;201;Aljustrel;Beja
09/07/2015 00:00;13.9042892456;14.9654026031;14.4806693925;0.278627634741;201;Aljustrel;Beja
10/07/2015 00:00;15.0696926117;15.2786083221;15.1615733571;0.054367128888;201;Aljustrel;Beja
11/07/2015 00:00;13.9470243454;14.696310997000001;14.4260667695;0.217192629388;201;Aljustrel;Beja
12/07/2015 00:00;12.960297584500001;13.7819681168;13.437213950699999;0.21590721102;201;Aljustrel;Beja
13/07/2015 00:00;12.745879173299999;13.837521553;13.37796349;0.284194774865;201;Aljustrel;Beja
14/07/2015 00:00;14.6549711227;15.8056821823;15.2540426254;0.30080867581;201;Aljustrel;Beja
15/07/2015 00:00;15.890501976;17.120006561300002;16.5437522994;0.32496632842900003;201;Aljustrel;Beja
16/07/2015 00:00;16.7460594177;17.6369686127;17.2154024972;0.240642003976;201;Aljustrel;Beja
17/07/2015 00:00;19.2669448853;20.0090045929;19.5914128621;0.232149114598;201;Aljustrel;Beja
18/07/2015 00:00;16.922740936300002;17.236633300799998;17.0778299967;0.10269227306399999;201;Aljustrel;Beja
19/07/2015 00:00;16.027282714800002;16.6991901398;16.4214125739;0.194075419342;201;Aljustrel;Beja
20/07/2015 00:00;18.2926597595;18.5459632874;18.4090263579;0.0697740394137;201;Aljustrel;Beja
21/07/2015 00:00;17.784799575799997;18.3311634064;18.0637433794;0.16076838952;201;Aljustrel;Beja
22/07/2015 00:00;17.8406829834;18.399873733499998;18.1325623194;0.1668139931;201;Aljustrel;Beja
23/07/2015 00:00;14.0624294281;15.200853347799999;14.765495512200001;0.304325009616;201;Aljustrel;Beja
24/07/2015 00:00;15.8884401321;16.539419174200003;16.2650719749;0.17351769692000002;201;Aljustrel;Beja
25/07/2015 00:00;14.2803277969;14.419512748699999;14.3291975127;0.0342825001816;201;Aljustrel;Beja
26/07/2015 00:00;12.910518646199998;13.9878044128;13.5685041216;0.283611157648;201;Aljustrel;Beja
27/07/2015 00:00;18.4589099884;18.6301784515;18.5408117506;0.042172643976499995;201;Aljustrel;Beja
28/07/2015 00:00;16.306369781500003;16.7930927277;16.614355193199998;0.13294159934;201;Aljustrel;Beja
29/07/2015 00:00;17.333656311;17.649515152;17.453591240799998;0.0913414377345;201;Aljustrel;Beja
30/07/2015 00:00;18.259851455699998;18.5525913239;18.4420427746;0.08957022301860001;201;Aljustrel;Beja
31/07/2015 00:00;16.945390701300003;17.126724243199998;17.0350050396;0.0465623302472;201;Aljustrel;Beja
01/08/2015 00:00;14.7576150894;15.0014486313;14.892855909100001;0.0665031811938;201;Aljustrel;Beja
02/08/2015 00:00;14.8150901794;16.1588592529;15.6323871083;0.41127794727899997;201;Aljustrel;Beja
03/08/2015 00:00;17.2485790253;18.9067401886;18.1901452806;0.49307174809500004;201;Aljustrel;Beja
04/08/2015 00:00;15.5206985474;16.5216999054;16.0925036007;0.315907716212;201;Aljustrel;Beja
05/08/2015 00:00;11.111834526099999;12.6067228317;11.9325566822;0.410852235855;201;Aljustrel;Beja
06/08/2015 00:00;13.6639652252;15.3342723846;14.6978128751;0.473767425413;201;Aljustrel;Beja
07/08/2015 00:00;15.7090291977;16.6820163727;16.249397118900003;0.26534942637200004;201;Aljustrel;Beja
08/08/2015 00:00;15.627325058;16.1299476624;15.8383636475;0.137822594827;201;Aljustrel;Beja
09/08/2015 00:00;18.1407318115;20.3317012787;19.3225880729;0.654006186914;201;Aljustrel;Beja
10/08/2015 00:00;17.275806427;18.388841629;17.9733366436;0.314801537325;201;Aljustrel;Beja
11/08/2015 00:00;15.9954214096;16.3022003174;16.1539744801;0.08197174743760001;201;Aljustrel;Beja
12/08/2015 00:00;15.8528337479;16.6725025177;16.2899982664;0.232313978839;201;Aljustrel;Beja
13/08/2015 00:00;12.837459564200001;13.8496017456;13.4674152268;0.297492916156;201;Aljustrel;Beja
14/08/2015 00:00;12.6903772354;12.9169197083;12.813791169100002;0.0581393528658;201;Aljustrel;Beja
15/08/2015 00:00;14.0307102203;14.9072704315;14.5110757616;0.247276887378;201;Aljustrel;Beja
16/08/2015 00:00;15.934941291800001;16.2494869232;16.1099893252;0.0941752603796;201;Aljustrel;Beja
